structure,HADDOCK-score,correlation,atomic-clashes
6UBY_10w.pdb,-995.52564,0.9452,0
6UBY_11w.pdb,-1035.932447,0.9491,0
6UBY_12w.pdb,-1139.856321,0.9503,0
6UBY_13w.pdb,-1140.07709,0.9494,0
6UBY_14w.pdb,-1069.338134,0.9482,0
6UBY_15w.pdb,-1066.86005,0.9499,0
6UBY_16w.pdb,-1074.685718,0.9479,0
6UBY_17w.pdb,-1091.4129647,0.95,0
6UBY_18w.pdb,-1133.6181,0.9492,0
6UBY_19w.pdb,-1024.771926,0.9501,0
6UBY_1w.pdb,-1184.182359,0.9488,0
6UBY_20w.pdb,-1139.0012907,0.9493,0
6UBY_21w.pdb,-1098.466206,0.9474,0
6UBY_22w.pdb,-1094.049211,0.948,0
6UBY_23w.pdb,-1179.339167,0.9506,0
6UBY_24w.pdb,-1170.363377,0.9497,0
6UBY_25w.pdb,-1079.811993,0.949,0
6UBY_26w.pdb,-1068.821399,0.9499,0
6UBY_27w.pdb,-1100.080668,0.9514,0
6UBY_28w.pdb,-1003.662198,0.9427,0
6UBY_29w.pdb,-1081.773005,0.949,0
6UBY_2w.pdb,-1051.843143,0.9492,0
6UBY_30w.pdb,-1175.920168,0.9514,0
6UBY_31w.pdb,-1164.933786,0.9491,0
6UBY_32w.pdb,-1107.655371,0.9494,0
6UBY_33w.pdb,-1080.253,0.9488,0
6UBY_34w.pdb,-1119.334207,0.9509,0
6UBY_35w.pdb,-1102.021269,0.9492,0
6UBY_36w.pdb,-1176.51315,0.9479,0
6UBY_37w.pdb,-1098.549819,0.9495,0
6UBY_38w.pdb,-1156.241919,0.948,0
6UBY_39w.pdb,-1075.2520679,0.9476,0
6UBY_3w.pdb,-1058.448516,0.9487,0
6UBY_40w.pdb,-1092.310959,0.9474,0
6UBY_41w.pdb,-1000.138139,0.9506,0
6UBY_42w.pdb,-1113.977107,0.9511,0
6UBY_43w.pdb,-1106.094316,0.9495,0
6UBY_44w.pdb,-990.856989,0.9469,0
6UBY_45w.pdb,-1051.895267,0.9497,0
6UBY_46w.pdb,-1187.609342,0.9496,0
6UBY_47w.pdb,-1034.327917,0.9492,0
6UBY_48w.pdb,-1140.192249,0.9501,0
6UBY_49w.pdb,-1115.355902,0.9487,0
6UBY_4w.pdb,-1034.781737,0.9482,0
6UBY_50w.pdb,-1189.50294,0.9497,0
6UBY_5w.pdb,-1080.746297,0.9485,0
6UBY_6w.pdb,-1116.059472,0.9473,0
6UBY_7w.pdb,-1022.2725077,0.9468,0
6UBY_8w.pdb,-1158.720812,0.9505,0
6UBY_9w.pdb,-1098.725517,0.9484,0
