structure,HADDOCK-score,atomic-clashes
3J96_1.pdb,-8396.2675,8
3J96_10.pdb,-8411.2188,6
3J96_11.pdb,-7967.5893,9
3J96_12.pdb,-8066.3283,4
3J96_13.pdb,-8373.1125,7
3J96_14.pdb,-8121.7472,8
3J96_15.pdb,-8390.9981,5
3J96_16.pdb,-8195.73806572,12
3J96_17.pdb,-8531.2738,8
3J96_18.pdb,-8480.5307,8
3J96_19.pdb,-8398.7549,5
3J96_2.pdb,-7998.0519,5
3J96_20.pdb,-8099.7061,4
3J96_21.pdb,-8350.7755,5
3J96_22.pdb,-8429.4815,9
3J96_23.pdb,-8209.1739,3
3J96_24.pdb,-8446.1291,8
3J96_25.pdb,-8567.8467,8
3J96_26.pdb,-8403.3963,6
3J96_27.pdb,-8552.9537,13
3J96_28.pdb,-8081.1907,7
3J96_29.pdb,-8305.8574,7
3J96_3.pdb,-8399.6337,4
3J96_30.pdb,-8612.7534,4
3J96_31.pdb,-8296.6449,7
3J96_32.pdb,-8550.7876,6
3J96_33.pdb,-8263.3204,5
3J96_34.pdb,-8308.7668,4
3J96_35.pdb,-8431.8764,8
3J96_36.pdb,-8254.4425,5
3J96_37.pdb,-8431.1984,10
3J96_38.pdb,-8295.3388,9
3J96_39.pdb,-8589.4028,5
3J96_4.pdb,-8183.7599,4
3J96_40.pdb,-8521.0249,10
3J96_41.pdb,-8659.6767,6
3J96_42.pdb,-8280.6295,4
3J96_43.pdb,-8293.7356,6
3J96_44.pdb,-8192.1204,8
3J96_45.pdb,-8056.3481,7
3J96_46.pdb,-8339.8525,6
3J96_47.pdb,-8197.5261,9
3J96_48.pdb,-8290.7969,4
3J96_49.pdb,-8130.6075,5
3J96_5.pdb,-8227.0902,8
3J96_50.pdb,-8305.22468,11
3J96_6.pdb,-7857.69064,8
3J96_7.pdb,-8209.81383,7
3J96_8.pdb,-8427.1066,9
3J96_9.pdb,-8293.1474,8
