structure,HADDOCK-score,correlation,atomic-clashes
5HNY_10w.pdb,-395.799307,0.9332,2
5HNY_11w.pdb,-380.221936,0.9346,2
5HNY_12w.pdb,-401.538392,0.9356,0
5HNY_13w.pdb,-454.469594,0.9339,0
5HNY_14w.pdb,-396.165032,0.9352,1
5HNY_15w.pdb,-449.375581,0.9339,3
5HNY_16w.pdb,-478.381887,0.9339,1
5HNY_17w.pdb,-444.996799,0.9345,1
5HNY_18w.pdb,-399.935211,0.9346,0
5HNY_19w.pdb,-410.025672,0.9339,2
5HNY_1w.pdb,-407.724571,0.9346,1
5HNY_20w.pdb,-452.089258,0.9339,1
5HNY_21w.pdb,-424.54612,0.9341,2
5HNY_22w.pdb,-445.928843,0.9348,0
5HNY_23w.pdb,-400.895556,0.9354,3
5HNY_24w.pdb,-408.076517,0.9346,2
5HNY_25w.pdb,-452.25877,0.9352,0
5HNY_26w.pdb,-441.395449,0.9348,1
5HNY_27w.pdb,-418.437806,0.9334,1
5HNY_28w.pdb,-426.561914,0.9344,1
5HNY_29w.pdb,-415.675966,0.9341,0
5HNY_2w.pdb,-404.455295,0.9326,1
5HNY_30w.pdb,-397.905772,0.9358,3
5HNY_31w.pdb,-408.383949,0.9345,1
5HNY_32w.pdb,-430.512674,0.9354,2
5HNY_33w.pdb,-429.28937,0.9353,1
5HNY_34w.pdb,-403.834072,0.9329,2
5HNY_35w.pdb,-450.77789,0.936,1
5HNY_36w.pdb,-364.052658,0.9402,4
5HNY_37w.pdb,-439.208559,0.9341,2
5HNY_38w.pdb,-394.2949,0.9345,0
5HNY_39w.pdb,-401.091065,0.9344,0
5HNY_3w.pdb,-446.195526,0.9342,1
5HNY_40w.pdb,-451.52082,0.9333,0
5HNY_41w.pdb,-421.494626,0.934,2
5HNY_42w.pdb,-391.309245,0.9345,2
5HNY_43w.pdb,-422.779098,0.9354,1
5HNY_44w.pdb,-390.383192,0.9362,2
5HNY_45w.pdb,-446.824516,0.935,1
5HNY_46w.pdb,-430.88929,0.934,1
5HNY_47w.pdb,-431.063807,0.9361,0
5HNY_48w.pdb,-439.789722,0.9337,1
5HNY_49w.pdb,-424.978147,0.9358,1
5HNY_4w.pdb,-377.668335,0.9322,1
5HNY_50w.pdb,-373.388455,0.9337,1
5HNY_5w.pdb,-414.696453,0.9346,2
5HNY_6w.pdb,-364.476855,0.9402,4
5HNY_7w.pdb,-399.830717,0.9351,1
5HNY_8w.pdb,-437.047203,0.9356,0
5HNY_9w.pdb,-450.301941,0.9351,2
