structure,HADDOCK-score,correlation,atomic-clashes
6ENY_10w.pdb,-685.244325,0.8844,1
6ENY_11w.pdb,-674.42256,0.885,0
6ENY_12w.pdb,-678.66873,0.8846,0
6ENY_13w.pdb,-688.361328,0.8853,0
6ENY_14w.pdb,-645.563096,0.8834,0
6ENY_15w.pdb,-663.682632,0.8857,0
6ENY_16w.pdb,-685.86487,0.8857,0
6ENY_17w.pdb,-709.77424,0.884,0
6ENY_18w.pdb,-697.12716,0.8864,0
6ENY_19w.pdb,-681.658513,0.8849,0
6ENY_1w.pdb,-668.087135,0.8853,0
6ENY_20w.pdb,-686.725971,0.8836,0
6ENY_21w.pdb,-662.532801,0.8842,0
6ENY_22w.pdb,-668.83687,0.8858,0
6ENY_23w.pdb,-691.343229,0.8867,0
6ENY_24w.pdb,-714.019749,0.8854,1
6ENY_25w.pdb,-637.342535,0.8847,0
6ENY_26w.pdb,-670.37757,0.8869,0
6ENY_27w.pdb,-673.007116,0.8834,0
6ENY_28w.pdb,-668.268777,0.8849,0
6ENY_29w.pdb,-640.755272,0.886,0
6ENY_2w.pdb,-667.135895,0.8845,0
6ENY_30w.pdb,-663.656065,0.8854,0
6ENY_31w.pdb,-678.60192,0.8851,0
6ENY_32w.pdb,-706.599052,0.8814,1
6ENY_33w.pdb,-657.40926,0.8862,0
6ENY_34w.pdb,-654.677336,0.8851,0
6ENY_35w.pdb,-671.816634,0.8837,0
6ENY_36w.pdb,-722.985825,0.8857,0
6ENY_37w.pdb,-635.26204,0.8861,0
6ENY_38w.pdb,-648.181526,0.8846,0
6ENY_39w.pdb,-650.974479,0.8853,0
6ENY_3w.pdb,-635.56352,0.8841,0
6ENY_40w.pdb,-678.739066,0.8851,1
6ENY_41w.pdb,-665.08165,0.8845,0
6ENY_42w.pdb,-649.760439,0.884,1
6ENY_43w.pdb,-673.82718,0.8853,0
6ENY_44w.pdb,-712.91873,0.8856,0
6ENY_45w.pdb,-631.797491,0.8846,0
6ENY_46w.pdb,-649.95234,0.886,0
6ENY_47w.pdb,-678.271719,0.8853,1
6ENY_48w.pdb,-687.064284,0.8856,0
6ENY_49w.pdb,-684.692638,0.8862,0
6ENY_4w.pdb,76.0088,0.8077,0
6ENY_50w.pdb,-666.029958,0.8849,0
6ENY_5w.pdb,-638.198651,0.8849,0
6ENY_6w.pdb,-638.629873,0.8853,0
6ENY_7w.pdb,-643.523254,0.8839,0
6ENY_8w.pdb,-644.34274,0.8856,0
6ENY_9w.pdb,-672.497529,0.8864,0
