structure,HADDOCK-score,atomic-clashes
6AHF_1.pdb,-1528.4458,2
6AHF_10.pdb,-2259.2766,0
6AHF_11.pdb,-2274.4306,1
6AHF_12.pdb,-2146.9813,1
6AHF_13.pdb,-2230.789,0
6AHF_14.pdb,-2089.3419,2
6AHF_15.pdb,-2309.1382,2
6AHF_16.pdb,-2205.2764,2
6AHF_17.pdb,-2186.4535,2
6AHF_18.pdb,-2386.5339,4
6AHF_19.pdb,-2236.2906,1
6AHF_2.pdb,-2391.8571,2
6AHF_20.pdb,-2432.3918,3
6AHF_21.pdb,-2146.0162,0
6AHF_22.pdb,-2448.6961,1
6AHF_23.pdb,-2435.576,2
6AHF_24.pdb,-2453.5233,3
6AHF_25.pdb,-2605.6467,5
6AHF_26.pdb,-2321.4962,2
6AHF_27.pdb,-2607.6034,2
6AHF_28.pdb,-2349.4167,0
6AHF_29.pdb,-2422.6453,3
6AHF_3.pdb,-2228.8616,3
6AHF_30.pdb,-2410.1221,5
6AHF_31.pdb,-2186.1468,0
6AHF_32.pdb,-2501.3463,3
6AHF_33.pdb,-2136.334,1
6AHF_34.pdb,-2488.3856,1
6AHF_35.pdb,-2188.1838,2
6AHF_36.pdb,-2264.4104,2
6AHF_37.pdb,-2309.3968,1
6AHF_38.pdb,-2512.9275,1
6AHF_39.pdb,-2255.8172,1
6AHF_4.pdb,-2404.9052,2
6AHF_40.pdb,-2231.5404,3
6AHF_41.pdb,-1528.4458,2
6AHF_42.pdb,-2350.0954,4
6AHF_43.pdb,-2143.0849,2
6AHF_44.pdb,-2232.5373,1
6AHF_45.pdb,-2428.3175,0
6AHF_46.pdb,-2094.4152,1
6AHF_47.pdb,-2287.2294,0
6AHF_48.pdb,-2431.5132,3
6AHF_49.pdb,-2263.996,0
6AHF_5.pdb,-2334.0186,3
6AHF_50.pdb,-2447.7549,0
6AHF_6.pdb,-2406.5543,0
6AHF_7.pdb,-2742.6934,2
6AHF_8.pdb,-2278.9713,0
6AHF_9.pdb,-1865.8698,1
