structure,HADDOCK-score,atomic-clashes
6IRF_1.pdb,-2341.9094,0
6IRF_10.pdb,-2413.4114,0
6IRF_11.pdb,-2398.0463,0
6IRF_12.pdb,-2446.3188,1
6IRF_13.pdb,-2581.6018,0
6IRF_14.pdb,-2380.7451,0
6IRF_15.pdb,-2485.3775,0
6IRF_16.pdb,-2315.4187,0
6IRF_17.pdb,-2440.0449,1
6IRF_18.pdb,-2246.7652,0
6IRF_19.pdb,-2558.8382,0
6IRF_2.pdb,-2510.8174,0
6IRF_20.pdb,-2558.915,1
6IRF_21.pdb,-2414.4373,0
6IRF_22.pdb,-2330.3453,0
6IRF_23.pdb,-2520.1997,0
6IRF_24.pdb,-2533.0633,0
6IRF_25.pdb,-2413.4805,1
6IRF_26.pdb,-2436.3785,1
6IRF_27.pdb,-2586.6789,2
6IRF_28.pdb,-2527.0081,0
6IRF_29.pdb,-2439.1284,0
6IRF_3.pdb,-2524.2257,1
6IRF_30.pdb,-2555.2039,0
6IRF_31.pdb,-2481.0478,0
6IRF_32.pdb,-2660.8823,0
6IRF_33.pdb,-2516.8026,0
6IRF_34.pdb,-2512.3119,0
6IRF_35.pdb,-2566.5982,0
6IRF_36.pdb,-2654.7661,0
6IRF_37.pdb,-2285.0384,0
6IRF_38.pdb,-2463.6683,0
6IRF_39.pdb,-2511.0944,1
6IRF_4.pdb,-2733.0996,0
6IRF_40.pdb,-2449.6102,0
6IRF_41.pdb,-2537.4773,0
6IRF_42.pdb,-2507.3636,0
6IRF_43.pdb,-2415.7999,0
6IRF_44.pdb,-2608.5397,0
6IRF_45.pdb,-2416.0114,0
6IRF_46.pdb,-2639.965,0
6IRF_47.pdb,-2578.8394,0
6IRF_48.pdb,-2646.7092,0
6IRF_49.pdb,-2458.5891,0
6IRF_5.pdb,-2497.0756,0
6IRF_50.pdb,-2497.3306,1
6IRF_6.pdb,-2524.046,0
6IRF_7.pdb,-2448.8902,0
6IRF_8.pdb,-2562.3471,1
6IRF_9.pdb,-2501.8108,0
