structure,HADDOCK-score,atomic-clashes
6N8Z_1.pdb,-4954.8208,10
6N8Z_10.pdb,-5204.1094,23
6N8Z_11.pdb,-3578.157,17
6N8Z_12.pdb,-5061.0066,13
6N8Z_13.pdb,-5042.9785,12
6N8Z_14.pdb,-5274.3145,17
6N8Z_15.pdb,-4955.4985,17
6N8Z_16.pdb,-5078.1782,13
6N8Z_17.pdb,-4909.7466,18
6N8Z_18.pdb,-4940.8196,17
6N8Z_19.pdb,-5044.9181,12
6N8Z_2.pdb,-4874.0169,11
6N8Z_20.pdb,-4946.9978,14
6N8Z_21.pdb,-4885.7585,16
6N8Z_22.pdb,-5371.1063,16
6N8Z_23.pdb,-5365.1023,9
6N8Z_24.pdb,-4594.5475,19
6N8Z_25.pdb,-4525.1811,16
6N8Z_26.pdb,-4652.8558,12
6N8Z_27.pdb,-3568.2571,17
6N8Z_28.pdb,-5005.8056,16
6N8Z_29.pdb,-5277.0421,13
6N8Z_3.pdb,-4925.9631,18
6N8Z_30.pdb,-5010.3304,14
6N8Z_31.pdb,-4852.9256,14
6N8Z_32.pdb,-4887.2293,14
6N8Z_33.pdb,-5727.1074,15
6N8Z_34.pdb,-5047.4471,20
6N8Z_35.pdb,-5239.9594,14
6N8Z_36.pdb,-4410.8476,17
6N8Z_37.pdb,-5084.3567,15
6N8Z_38.pdb,-4699.705,10
6N8Z_39.pdb,-5461.3646,15
6N8Z_4.pdb,-4981.0898,13
6N8Z_40.pdb,-5261.4007,13
6N8Z_41.pdb,-5353.3465,16
6N8Z_42.pdb,-4844.0617,17
6N8Z_43.pdb,-4855.4576,14
6N8Z_44.pdb,-5058.6332,15
6N8Z_45.pdb,-4663.778,18
6N8Z_46.pdb,-4846.4234,18
6N8Z_47.pdb,-5410.521,17
6N8Z_48.pdb,-5917.5857,17
6N8Z_49.pdb,-4914.7777,15
6N8Z_5.pdb,-4975.7828,9
6N8Z_50.pdb,-4425.3301,8
6N8Z_6.pdb,-3571.5344,17
6N8Z_7.pdb,-4969.9518,17
6N8Z_8.pdb,-4873.9515,18
6N8Z_9.pdb,-4827.8489,19
