structure,HADDOCK-score,atomic-clashes
6R7I_1.pdb,-2637.752,14
6R7I_10.pdb,-2530.149,14
6R7I_11.pdb,-2875.17,16
6R7I_12.pdb,-2662.681,16
6R7I_13.pdb,-2550.855,15
6R7I_14.pdb,-2612.033,13
6R7I_15.pdb,-2426.752,16
6R7I_16.pdb,-2621.17,14
6R7I_17.pdb,-2416.893,17
6R7I_18.pdb,-2548.954,13
6R7I_19.pdb,-2543.085,13
6R7I_2.pdb,-2497.579,15
6R7I_20.pdb,-2519.994,14
6R7I_21.pdb,-2391.57,17
6R7I_22.pdb,-2737.519,15
6R7I_23.pdb,-2600.478,14
6R7I_24.pdb,-2745.075,13
6R7I_25.pdb,-2695.521,17
6R7I_26.pdb,-2709.767,17
6R7I_27.pdb,-4133.578,3
6R7I_28.pdb,-2560.589,19
6R7I_29.pdb,-2537.858,14
6R7I_3.pdb,-2405.569,13
6R7I_30.pdb,-2587.794,12
6R7I_31.pdb,-2579.035,16
6R7I_32.pdb,-2669.982,13
6R7I_33.pdb,-2885.716,12
6R7I_34.pdb,-2571.017,17
6R7I_35.pdb,-2603.91,17
6R7I_36.pdb,-2641.887,14
6R7I_37.pdb,-2766.821,15
6R7I_38.pdb,-2344.329,15
6R7I_39.pdb,-2431.997,14
6R7I_4.pdb,-2666.743,14
6R7I_40.pdb,-2719.26,13
6R7I_41.pdb,-2412.51,12
6R7I_42.pdb,-2692.594,15
6R7I_43.pdb,-2731.266,15
6R7I_44.pdb,-2696.786,17
6R7I_45.pdb,-2650.161,16
6R7I_46.pdb,-2547.139,12
6R7I_47.pdb,-2708.299,16
6R7I_48.pdb,-2746.176,19
6R7I_49.pdb,-2764.988,17
6R7I_5.pdb,-2800.992,13
6R7I_50.pdb,-2592.847,15
6R7I_6.pdb,-2646.772,13
6R7I_7.pdb,-2504.94,15
6R7I_8.pdb,-2266.208,13
6R7I_9.pdb,-2731.216,15
