structure,HADDOCK-score,correlation
6UBY_1.pdb,-551.2129,0.9463
6UBY_10.pdb,-476.5572,0.9476
6UBY_11.pdb,-570.1582,0.9505
6UBY_12.pdb,-230.9686,0.946
6UBY_13.pdb,-286.3488,0.9481
6UBY_14.pdb,-281.3204,0.9462
6UBY_15.pdb,-332.2598,0.9471
6UBY_16.pdb,-353.8154,0.9461
6UBY_17.pdb,-352.9867,0.9481
6UBY_18.pdb,-404.8403,0.9477
6UBY_19.pdb,-406.5952,0.9465
6UBY_2.pdb,-480.679,0.9477
6UBY_20.pdb,-265.4033,0.9442
6UBY_21.pdb,-424.9296,0.9496
6UBY_22.pdb,-339.4265,0.9483
6UBY_23.pdb,-321.5743,0.9468
6UBY_24.pdb,-588.7672,0.9497
6UBY_25.pdb,-408.1315,0.9485
6UBY_26.pdb,-380.6368,0.9482
6UBY_27.pdb,-532.4028,0.9473
6UBY_28.pdb,-362.2332,0.9483
6UBY_29.pdb,-221.498,0.9469
6UBY_3.pdb,-610.5488,0.9494
6UBY_30.pdb,-279.1273,0.9466
6UBY_31.pdb,-438.6178,0.9467
6UBY_32.pdb,-222.4192,0.9437
6UBY_33.pdb,-527.9193,0.9472
6UBY_34.pdb,-412.1875,0.9469
6UBY_35.pdb,-376.6386,0.9482
6UBY_36.pdb,-472.7436,0.9489
6UBY_37.pdb,-398.6308,0.9468
6UBY_38.pdb,-431.1029,0.9475
6UBY_39.pdb,-522.9765,0.9484
6UBY_4.pdb,-223.8773,0.946
6UBY_40.pdb,-476.944,0.9471
6UBY_41.pdb,-392.9006,0.9483
6UBY_42.pdb,-467.2156,0.9447
6UBY_43.pdb,-300.2267,0.9487
6UBY_44.pdb,-322.8026,0.9465
6UBY_45.pdb,-341.5901,0.948
6UBY_46.pdb,-302.8123,0.9452
6UBY_47.pdb,-384.3424,0.9485
6UBY_48.pdb,-500.8359,0.9475
6UBY_49.pdb,-359.083,0.9473
6UBY_5.pdb,-511.2765,0.9493
6UBY_50.pdb,-340.9525,0.9478
6UBY_6.pdb,-565.9338,0.9466
6UBY_7.pdb,-405.3633,0.9485
6UBY_8.pdb,-531.3573,0.9489
6UBY_9.pdb,-669.7638,0.9502
