structure,HADDOCK-score,correlation
5HNY_1.pdb,-750.92657,0.9335
5HNY_10.pdb,-675.00207,0.9338
5HNY_11.pdb,-717.28068,0.9338
5HNY_12.pdb,-731.48386,0.9351
5HNY_13.pdb,-888.14821,0.9335
5HNY_14.pdb,-766.99512,0.9346
5HNY_15.pdb,-735.11574,0.9333
5HNY_16.pdb,-483.98006,0.9393
5HNY_17.pdb,-806.54558,0.9338
5HNY_18.pdb,-484.16033,0.9393
5HNY_19.pdb,-473.23108,0.9393
5HNY_2.pdb,-723.09229,0.9325
5HNY_20.pdb,-768.82759,0.9321
5HNY_21.pdb,-680.70239,0.9339
5HNY_22.pdb,-789.532,0.9335
5HNY_23.pdb,-766.64446,0.9331
5HNY_24.pdb,-698.084,0.9321
5HNY_25.pdb,-716.6658,0.933
5HNY_26.pdb,-749.8971,0.9337
5HNY_27.pdb,-762.92352,0.9335
5HNY_28.pdb,-715.33452,0.9333
5HNY_29.pdb,-483.4285,0.9393
5HNY_3.pdb,-791.5134,0.9341
5HNY_30.pdb,-670.66043,0.9324
5HNY_31.pdb,-822.88641,0.933
5HNY_32.pdb,-668.55445,0.9346
5HNY_33.pdb,-877.75632,0.9348
5HNY_34.pdb,-602.26613,0.9326
5HNY_35.pdb,-848.58605,0.934
5HNY_36.pdb,-737.67171,0.9331
5HNY_37.pdb,-782.12139,0.9323
5HNY_38.pdb,-791.13259,0.9338
5HNY_39.pdb,-752.787,0.9334
5HNY_4.pdb,-481.86964,0.9393
5HNY_40.pdb,-814.11991,0.9332
5HNY_41.pdb,-736.1653,0.9348
5HNY_42.pdb,-749.45278,0.9337
5HNY_43.pdb,-738.23818,0.9342
5HNY_44.pdb,-742.16461,0.9342
5HNY_45.pdb,-788.80452,0.9329
5HNY_46.pdb,-704.50331,0.9332
5HNY_47.pdb,-744.61125,0.9337
5HNY_48.pdb,-778.52838,0.9332
5HNY_49.pdb,-828.31465,0.9301
5HNY_5.pdb,-479.93362,0.9393
5HNY_50.pdb,-483.60125,0.9393
5HNY_6.pdb,-481.79944,0.9393
5HNY_7.pdb,-720.51733,0.9314
5HNY_8.pdb,-823.16978,0.9338
5HNY_9.pdb,-793.7239,0.9335
