structure,HADDOCK-score,correlation
6C06_12.pdb,,0.8855
6C06_13.pdb,,0.896
6C06_15.pdb,,0.8941
6C06_16.pdb,,0.8903
6C06_17.pdb,,0.8925
6C06_18.pdb,,0.8893
6C06_19.pdb,,0.8924
6C06_2.pdb,,0.8938
6C06_21.pdb,,0.8889
6C06_22.pdb,,0.8927
6C06_23.pdb,,0.8939
6C06_24.pdb,,0.8865
6C06_25.pdb,,0.893
6C06_26.pdb,,0.8916
6C06_27.pdb,,0.8945
6C06_29.pdb,,0.8923
6C06_30.pdb,,0.8877
6C06_32.pdb,,0.8922
6C06_33.pdb,,0.8923
6C06_34.pdb,,0.8938
6C06_35.pdb,,0.8924
6C06_36.pdb,,0.8924
6C06_39.pdb,,0.8928
6C06_41.pdb,,0.8944
6C06_42.pdb,,0.8949
6C06_44.pdb,,0.8937
6C06_46.pdb,,0.8935
6C06_49.pdb,,0.8892
6C06_5.pdb,,0.8896
6C06_50.pdb,,0.8914
