structure,HADDOCK-score,atomic-clashes
6R7I_1.pdb,-3931.9439,20
6R7I_10.pdb,-4048.0604,20
6R7I_11.pdb,-4083.4064,19
6R7I_12.pdb,-4112.354,19
6R7I_13.pdb,-5555.9278,1
6R7I_14.pdb,-5494.5555,2
6R7I_15.pdb,-3868.9015,18
6R7I_16.pdb,-3842.9918,17
6R7I_17.pdb,-4056.7438,21
6R7I_18.pdb,-3678.4438,19
6R7I_19.pdb,-3847.9955,19
6R7I_2.pdb,-3795.4236,18
6R7I_20.pdb,-3819.6345,19
6R7I_21.pdb,-4040.3386,21
6R7I_22.pdb,-3766.4896,19
6R7I_23.pdb,-3665.8688,17
6R7I_24.pdb,-3940.7271,19
6R7I_25.pdb,-4107.7778,18
6R7I_26.pdb,-3972.8276,18
6R7I_27.pdb,-3845.9909,20
6R7I_28.pdb,-3780.0354,20
6R7I_29.pdb,-4073.0024,21
6R7I_3.pdb,-3745.6522,18
6R7I_30.pdb,-3911.1846,20
6R7I_31.pdb,-3653.8487,20
6R7I_32.pdb,-3794.3952,18
6R7I_33.pdb,-3963.3722,21
6R7I_34.pdb,-3871.5592,19
6R7I_35.pdb,-3901.723,20
6R7I_36.pdb,-3770.6871,19
6R7I_37.pdb,-4083.865,20
6R7I_38.pdb,-3834.7746,20
6R7I_39.pdb,-3995.1194,22
6R7I_4.pdb,-3779.5124,20
6R7I_40.pdb,-3799.5543,21
6R7I_41.pdb,-3645.9135,17
6R7I_42.pdb,-3819.3553,19
6R7I_43.pdb,-4007.5436,21
6R7I_44.pdb,-5469.3016,0
6R7I_45.pdb,-3761.3812,19
6R7I_46.pdb,-3733.71,22
6R7I_47.pdb,-3717.9927,20
6R7I_48.pdb,-3719.9486,18
6R7I_49.pdb,-3763.3805,20
6R7I_5.pdb,-3814.7716,21
6R7I_50.pdb,-3882.0425,18
6R7I_6.pdb,-3524.9957,19
6R7I_7.pdb,-3505.2717,18
6R7I_8.pdb,-3867.1645,19
6R7I_9.pdb,-3954.9926,20
