structure,HADDOCK-score,correlation,atomic-clashes
5WCB_10w.pdb,-860.38297,0.8984,0
5WCB_11w.pdb,-780.78441,0.8938,0
5WCB_12w.pdb,-814.90938,0.8948,0
5WCB_13w.pdb,-818.4463,0.8953,0
5WCB_14w.pdb,-784.88974,0.8945,1
5WCB_15w.pdb,-861.9305,0.8967,1
5WCB_16w.pdb,-835.26658,0.8957,0
5WCB_17w.pdb,-863.68309,0.8964,0
5WCB_18w.pdb,-819.98096,0.8965,0
5WCB_19w.pdb,-796.09296,0.8954,1
5WCB_1w.pdb,-882.21,0.8973,0
5WCB_20w.pdb,-831.90147,0.8949,0
5WCB_21w.pdb,-809.56459,0.8973,0
5WCB_22w.pdb,-825.59992,0.8956,0
5WCB_23w.pdb,-892.7691,0.8982,0
5WCB_24w.pdb,-851.57264,0.8928,0
5WCB_25w.pdb,-857.24649,0.8966,1
5WCB_26w.pdb,-927.19213,0.8987,0
5WCB_27w.pdb,-857.72071,0.8952,0
5WCB_28w.pdb,-776.3844,0.8915,0
5WCB_29w.pdb,-871.31941,0.8975,1
5WCB_2w.pdb,-871.77842,0.8953,0
5WCB_30w.pdb,-905.46785,0.8972,0
5WCB_31w.pdb,-878.42331,0.8981,0
5WCB_32w.pdb,-842.2591,0.896,0
5WCB_33w.pdb,-848.55797,0.8944,0
5WCB_34w.pdb,-848.93273,0.8969,1
5WCB_35w.pdb,-840.2971,0.8974,0
5WCB_36w.pdb,-794.15668,0.8958,0
5WCB_37w.pdb,-865.45201,0.8973,0
5WCB_38w.pdb,-812.58799,0.8949,0
5WCB_39w.pdb,-869.08856,0.8979,0
5WCB_3w.pdb,-748.41961,0.8968,1
5WCB_40w.pdb,-868.07012,0.8969,0
5WCB_41w.pdb,-927.4833,0.899,0
5WCB_42w.pdb,-863.2693,0.897,0
5WCB_43w.pdb,-873.91796,0.8957,0
5WCB_44w.pdb,-909.51476,0.8968,0
5WCB_45w.pdb,-830.6919,0.8972,0
5WCB_46w.pdb,-876.63211,0.8969,0
5WCB_47w.pdb,-868.30082,0.897,0
5WCB_48w.pdb,-865.49387,0.8981,0
5WCB_49w.pdb,-889.80192,0.8989,0
5WCB_4w.pdb,-702.2138,0.8925,1
5WCB_50w.pdb,-828.5418,0.8973,0
5WCB_5w.pdb,-836.16617,0.8943,0
5WCB_6w.pdb,-874.91464,0.896,0
5WCB_7w.pdb,-865.01061,0.8961,0
5WCB_8w.pdb,-808.48661,0.8948,0
5WCB_9w.pdb,-836.89119,0.8982,0
