structure,HADDOCK-score,correlation,atomic-clashes
5WCB_10w.pdb,-1091.84918,0.9003,0
5WCB_11w.pdb,-952.0375,0.9003,0
5WCB_12w.pdb,-1053.14571,0.9022,0
5WCB_13w.pdb,-1031.7894,0.899,0
5WCB_14w.pdb,-1072.29684,0.9006,0
5WCB_15w.pdb,-1085.67202,0.9021,0
5WCB_16w.pdb,-1013.99489,0.8993,0
5WCB_17w.pdb,-1005.7333,0.9001,0
5WCB_18w.pdb,-983.95466,0.9001,0
5WCB_19w.pdb,-1032.5266,0.9019,0
5WCB_1w.pdb,-1016.10545,0.8988,0
5WCB_20w.pdb,-981.0108,0.8995,0
5WCB_21w.pdb,-1021.5249,0.899,0
5WCB_22w.pdb,-1078.7864,0.8982,0
5WCB_23w.pdb,-976.36682,0.8987,1
5WCB_24w.pdb,-1022.89716,0.9007,0
5WCB_25w.pdb,-1012.593,0.8996,0
5WCB_26w.pdb,-1035.98208,0.9017,0
5WCB_27w.pdb,-1045.57696,0.8991,0
5WCB_28w.pdb,-997.937,0.9001,0
5WCB_29w.pdb,-988.94876,0.8997,0
5WCB_2w.pdb,-1037.2046,0.8974,0
5WCB_30w.pdb,-1074.46869,0.9019,0
5WCB_31w.pdb,-1047.29155,0.9018,0
5WCB_32w.pdb,-1043.3376,0.8999,0
5WCB_33w.pdb,-1061.84319,0.9013,0
5WCB_34w.pdb,-1019.0173,0.8999,0
5WCB_35w.pdb,-1046.7971,0.9006,0
5WCB_36w.pdb,-969.9957,0.8987,0
5WCB_37w.pdb,-1063.72121,0.9014,0
5WCB_38w.pdb,-1001.2172,0.9008,0
5WCB_39w.pdb,-1010.8532,0.9005,0
5WCB_3w.pdb,-1029.1254,0.8982,0
5WCB_40w.pdb,-1057.15774,0.8994,0
5WCB_41w.pdb,-1060.0838,0.9012,1
5WCB_42w.pdb,-992.98283,0.9009,1
5WCB_43w.pdb,-1051.99771,0.9013,0
5WCB_44w.pdb,-1046.14341,0.9016,0
5WCB_45w.pdb,-1058.3345,0.9015,0
5WCB_46w.pdb,-1023.37078,0.9014,0
5WCB_47w.pdb,-1009.70046,0.8975,0
5WCB_48w.pdb,-935.5891,0.8989,0
5WCB_49w.pdb,-1001.69192,0.8996,0
5WCB_4w.pdb,-1032.21234,0.9014,0
5WCB_50w.pdb,-1008.6497,0.9012,0
5WCB_5w.pdb,-1012.10361,0.8992,0
5WCB_6w.pdb,-1051.67611,0.8985,0
5WCB_7w.pdb,-977.62776,0.8998,0
5WCB_8w.pdb,-965.6936,0.9008,0
5WCB_9w.pdb,-1037.12405,0.9,0
