structure,HADDOCK-score,atomic-clashes
3J95_1.pdb,-3164.7185,1
3J95_10.pdb,-2992.9041,0
3J95_11.pdb,-3078.797,0
3J95_12.pdb,-3066.3266,3
3J95_13.pdb,-2773.8106,1
3J95_14.pdb,-2757.755,1
3J95_15.pdb,-2753.3987,2
3J95_16.pdb,-2917.161,2
3J95_17.pdb,-3003.9247,2
3J95_18.pdb,-3038.5725,1
3J95_19.pdb,-3052.8765,0
3J95_2.pdb,-3010.5377,2
3J95_20.pdb,-3214.328,1
3J95_21.pdb,-2791.6084,2
3J95_22.pdb,-2909.9367,1
3J95_23.pdb,-2975.348,0
3J95_24.pdb,-2883.0658,1
3J95_25.pdb,-2807.304,1
3J95_26.pdb,-2853.09115,1
3J95_27.pdb,-3002.9833,0
3J95_28.pdb,-2962.7286,1
3J95_29.pdb,-3031.8429,3
3J95_3.pdb,-2950.7185,1
3J95_30.pdb,-2898.0385,2
3J95_31.pdb,-2835.3366,0
3J95_32.pdb,-3005.2674,0
3J95_33.pdb,-2893.3721,1
3J95_34.pdb,-2841.6052,1
3J95_35.pdb,-2992.1875,2
3J95_36.pdb,-2824.3282,0
3J95_37.pdb,-2864.5169,1
3J95_38.pdb,-3259.1107,1
3J95_39.pdb,-2947.0517,2
3J95_4.pdb,-2902.0344,2
3J95_40.pdb,-3035.3748,2
3J95_41.pdb,-2809.6776,1
3J95_42.pdb,-2834.4692,2
3J95_43.pdb,-3074.6952,3
3J95_44.pdb,-3106.611,1
3J95_45.pdb,-2984.9389,1
3J95_46.pdb,-3059.4251,3
3J95_47.pdb,-2675.057,1
3J95_48.pdb,-2929.6468,1
3J95_49.pdb,-2805.8475,1
3J95_5.pdb,-2937.0015,1
3J95_50.pdb,-2923.2953,0
3J95_6.pdb,-2942.0471,2
3J95_7.pdb,-3107.6535,1
3J95_8.pdb,-2799.3912,2
3J95_9.pdb,-3053.576,1
