structure,HADDOCK-score,correlation
6IRF_1.pdb,,0.8803
6IRF_10.pdb,,0.8874
6IRF_11.pdb,,0.8831
6IRF_13.pdb,,0.8829
6IRF_14.pdb,,0.8875
6IRF_15.pdb,,0.8843
6IRF_17.pdb,,0.8822
6IRF_18.pdb,,0.8912
6IRF_19.pdb,,0.8789
6IRF_2.pdb,,0.8851
6IRF_20.pdb,,0.8849
6IRF_21.pdb,,0.8807
6IRF_22.pdb,,0.8912
6IRF_23.pdb,,0.8824
6IRF_24.pdb,,0.8832
6IRF_25.pdb,,0.8808
6IRF_26.pdb,,0.8864
6IRF_27.pdb,,0.8866
6IRF_28.pdb,,0.8821
6IRF_29.pdb,,0.8792
6IRF_3.pdb,,0.8835
6IRF_31.pdb,,0.8807
6IRF_32.pdb,,0.8848
6IRF_33.pdb,,0.884
6IRF_34.pdb,,0.8834
6IRF_35.pdb,,0.8813
6IRF_37.pdb,,0.8841
6IRF_38.pdb,,0.8854
6IRF_39.pdb,,0.883
6IRF_4.pdb,,0.8812
6IRF_41.pdb,,0.8809
6IRF_42.pdb,,0.8829
6IRF_43.pdb,,0.8801
6IRF_44.pdb,,0.8863
6IRF_45.pdb,,0.8795
6IRF_47.pdb,,0.8818
6IRF_48.pdb,,0.8854
6IRF_49.pdb,,0.88
6IRF_5.pdb,,0.8822
6IRF_50.pdb,,0.8842
6IRF_7.pdb,,0.8831
6IRF_8.pdb,,0.8861
6IRF_9.pdb,,0.8822
