structure,HADDOCK-score,correlation
6ENY_1.pdb,347.0012,0.877
6ENY_10.pdb,464.4905,0.8745
6ENY_11.pdb,341.2692,0.879
6ENY_12.pdb,-1129.9366,0.8741
6ENY_13.pdb,317.5116,0.8814
6ENY_14.pdb,498.5745,0.8765
6ENY_15.pdb,222.3061,0.8788
6ENY_16.pdb,328.1138,0.8778
6ENY_17.pdb,301.3875,0.8799
6ENY_18.pdb,338.6633,0.8768
6ENY_19.pdb,399.931,0.8766
6ENY_2.pdb,349.9734,0.8795
6ENY_20.pdb,305.3254,0.8799
6ENY_21.pdb,220.0021,0.8794
6ENY_22.pdb,305.7339,0.8787
6ENY_23.pdb,401.3334,0.8775
6ENY_24.pdb,378.6687,0.8778
6ENY_25.pdb,388.1774,0.8758
6ENY_26.pdb,351.0988,0.8791
6ENY_27.pdb,457.5988,0.8788
6ENY_28.pdb,368.738,0.8754
6ENY_29.pdb,390.0519,0.8766
6ENY_3.pdb,346.641,0.8772
6ENY_30.pdb,377.3283,0.8793
6ENY_31.pdb,408.2363,0.8785
6ENY_32.pdb,-1137.5485,0.8763
6ENY_33.pdb,372.7997,0.8781
6ENY_34.pdb,299.5135,0.8773
6ENY_35.pdb,301.4414,0.8809
6ENY_36.pdb,318.8918,0.8786
6ENY_37.pdb,375.8494,0.878
6ENY_38.pdb,304.9364,0.8763
6ENY_39.pdb,274.9541,0.8791
6ENY_4.pdb,310.3275,0.8789
6ENY_40.pdb,456.3069,0.8775
6ENY_41.pdb,317.762,0.8773
6ENY_42.pdb,256.5801,0.8791
6ENY_43.pdb,443.8982,0.8792
6ENY_44.pdb,356.6169,0.8752
6ENY_45.pdb,291.9547,0.8762
6ENY_46.pdb,438.0571,0.8801
6ENY_47.pdb,325.3803,0.8759
6ENY_48.pdb,346.2014,0.8794
6ENY_49.pdb,349.016,0.8798
6ENY_5.pdb,348.8003,0.8768
6ENY_50.pdb,294.4136,0.8803
6ENY_6.pdb,297.7941,0.8806
6ENY_7.pdb,279.2818,0.8777
6ENY_8.pdb,354.3814,0.8772
6ENY_9.pdb,344.5424,0.8788
