structure,HADDOCK-score,atomic-clashes
5WCB_1.pdb,-2117.5197,0
5WCB_10.pdb,-1681.4611,3
5WCB_11.pdb,-1896.2739,4
5WCB_12.pdb,-1909.5171,2
5WCB_13.pdb,-1915.7591,2
5WCB_14.pdb,-1857.70487,1
5WCB_15.pdb,-1775.3148,1
5WCB_16.pdb,-1954.5829,4
5WCB_17.pdb,-2181.9837,6
5WCB_18.pdb,-1751.5481,2
5WCB_19.pdb,-1933.2133,1
5WCB_2.pdb,-1951.7616,1
5WCB_20.pdb,-2127.9108,4
5WCB_21.pdb,-1908.5111,3
5WCB_22.pdb,-2042.58309,4
5WCB_23.pdb,-1933.3507,3
5WCB_24.pdb,-1760.7077,1
5WCB_25.pdb,-1841.2562,3
5WCB_26.pdb,-1962.48866,3
5WCB_27.pdb,-2119.81939,5
5WCB_28.pdb,-1781.5611,1
5WCB_29.pdb,-1895.0704,3
5WCB_3.pdb,-2028.742,4
5WCB_30.pdb,-1949.1257,2
5WCB_31.pdb,-1998.8721,4
5WCB_32.pdb,-2085.12953,2
5WCB_33.pdb,-2008.7652,2
5WCB_34.pdb,-1897.6785,2
5WCB_35.pdb,-1842.4498,2
5WCB_36.pdb,-1659.28749,1
5WCB_37.pdb,-1674.5411,2
5WCB_38.pdb,-1865.6182,1
5WCB_39.pdb,-1848.5717,3
5WCB_4.pdb,-1785.0299,1
5WCB_40.pdb,-1978.9928,2
5WCB_41.pdb,-1922.9267,3
5WCB_42.pdb,-1886.2797,3
5WCB_43.pdb,-1941.3432,2
5WCB_44.pdb,-2118.1836,4
5WCB_45.pdb,-1868.4302,4
5WCB_46.pdb,-1881.742,0
5WCB_47.pdb,-2213.0501,3
5WCB_48.pdb,-1946.3756,3
5WCB_49.pdb,-1941.25212,2
5WCB_5.pdb,-1927.1751,3
5WCB_50.pdb,-1991.1499,4
5WCB_6.pdb,-1900.0308,3
5WCB_7.pdb,-1743.6158,1
5WCB_8.pdb,-1770.264,2
5WCB_9.pdb,-1993.27078,0
