structure,HADDOCK-score,atomic-clashes
3J95_1.pdb,-3115.6957,1
3J95_10.pdb,-2782.2185,0
3J95_11.pdb,-3106.8353,1
3J95_12.pdb,-3209.8332,2
3J95_13.pdb,-2968.0289,0
3J95_14.pdb,-3090.7776,0
3J95_15.pdb,-3225.1203,0
3J95_16.pdb,-2843.6494,1
3J95_17.pdb,-3189.5239,0
3J95_18.pdb,-3150.9325,2
3J95_19.pdb,-3035.0326,0
3J95_2.pdb,-3081.7203,1
3J95_20.pdb,-3260.3125,0
3J95_21.pdb,-3166.026,1
3J95_22.pdb,-2723.4108,0
3J95_23.pdb,-2963.024,2
3J95_24.pdb,-2920.1766,0
3J95_25.pdb,-3331.0289,2
3J95_26.pdb,-3389.3367,0
3J95_27.pdb,-3223.1921,0
3J95_28.pdb,-3186.1341,1
3J95_29.pdb,-3096.2274,0
3J95_3.pdb,-3162.4371,0
3J95_30.pdb,-3182.8573,0
3J95_31.pdb,-3084.0448,0
3J95_32.pdb,-3374.2065,1
3J95_33.pdb,-2502.9043,1
3J95_34.pdb,-3203.0973,1
3J95_35.pdb,-3056.7114,2
3J95_36.pdb,-3291.6631,2
3J95_37.pdb,-3342.6447,1
3J95_38.pdb,-3141.6724,1
3J95_39.pdb,-2967.511,0
3J95_4.pdb,-3253.6131,0
3J95_40.pdb,-3160.5337,1
3J95_41.pdb,-3243.9579,3
3J95_42.pdb,-3128.1791,2
3J95_43.pdb,-3302.1445,1
3J95_44.pdb,-3327.3416,1
3J95_45.pdb,-2903.7711,1
3J95_46.pdb,-3239.5738,1
3J95_47.pdb,-3094.6655,0
3J95_48.pdb,-3218.6029,0
3J95_49.pdb,-3253.9667,0
3J95_5.pdb,-2932.546,1
3J95_50.pdb,-3242.0123,0
3J95_6.pdb,-3123.5925,0
3J95_7.pdb,-3176.2952,0
3J95_8.pdb,-3138.8941,1
3J95_9.pdb,-3173.1293,2
