structure,HADDOCK-score,correlation
3J96_1.pdb,-7054.7596,0.9211
3J96_10.pdb,-6772.1702,0.9208
3J96_11.pdb,-6875.8436,0.9222
3J96_12.pdb,-6870.9712,0.9216
3J96_13.pdb,-7179.4264,0.9245
3J96_14.pdb,-6647.522,0.9222
3J96_15.pdb,-6936.126,0.9236
3J96_16.pdb,-7313.4978,0.9188
3J96_17.pdb,-6948.0761,0.9233
3J96_18.pdb,-6847.56136,0.9222
3J96_19.pdb,-7147.9522,0.9236
3J96_2.pdb,-7287.923,0.9223
3J96_20.pdb,-6676.5555,0.9222
3J96_21.pdb,-6685.1541,0.921
3J96_22.pdb,-7221.6059,0.924
3J96_23.pdb,-7204.7462,0.9212
3J96_24.pdb,-6180.7211,0.9134
3J96_25.pdb,-6097.3692,0.9153
3J96_26.pdb,-7034.4756,0.9236
3J96_27.pdb,-6825.1514,0.9222
3J96_28.pdb,-6794.932,0.9223
3J96_29.pdb,-7035.5926,0.9241
3J96_3.pdb,-6892.378,0.9232
3J96_30.pdb,-6861.0509,0.9202
3J96_31.pdb,-6954.4518,0.924
3J96_32.pdb,-7339.3619,0.9244
3J96_33.pdb,-6998.2745,0.9235
3J96_34.pdb,-6938.6388,0.9207
3J96_35.pdb,-7241.9071,0.9235
3J96_36.pdb,-7008.5677,0.9214
3J96_37.pdb,-7593.4534,0.9241
3J96_38.pdb,-6982.88715,0.9229
3J96_39.pdb,-6912.3651,0.9217
3J96_4.pdb,-6871.1576,0.9221
3J96_40.pdb,-6261.6247,0.9141
3J96_41.pdb,-7375.9077,0.9242
3J96_42.pdb,-6688.0372,0.9197
3J96_43.pdb,-7252.2748,0.9234
3J96_44.pdb,-7207.0594,0.9232
3J96_45.pdb,-6895.0962,0.9213
3J96_46.pdb,-6993.0628,0.9224
3J96_47.pdb,-6794.5235,0.9227
3J96_48.pdb,-7219.7983,0.9226
3J96_49.pdb,-6788.56437,0.9225
3J96_5.pdb,-7075.5116,0.9239
3J96_50.pdb,-7282.3122,0.924
3J96_6.pdb,-6939.9477,0.922
3J96_7.pdb,-6957.9675,0.9225
3J96_8.pdb,-7309.9461,0.9215
3J96_9.pdb,-7318.0686,0.9234
