structure,HADDOCK-score,correlation,atomic-clashes
6ENY_10w.pdb,938.0204,0.6494,12
6ENY_11w.pdb,938.0204,0.6494,12
6ENY_12w.pdb,938.0204,0.6494,12
6ENY_13w.pdb,938.0204,0.6494,12
6ENY_14w.pdb,938.0204,0.6494,12
6ENY_15w.pdb,938.0204,0.6494,12
6ENY_16w.pdb,938.0204,0.6494,12
6ENY_17w.pdb,938.0204,0.6494,12
6ENY_18w.pdb,938.0204,0.6494,12
6ENY_19w.pdb,938.0204,0.6494,12
6ENY_1w.pdb,938.0204,0.6494,12
6ENY_20w.pdb,938.0204,0.6494,12
6ENY_21w.pdb,938.0204,0.6494,12
6ENY_22w.pdb,938.0204,0.6494,12
6ENY_23w.pdb,938.0204,0.6494,12
6ENY_24w.pdb,938.0204,0.6494,12
6ENY_25w.pdb,938.0204,0.6494,12
6ENY_26w.pdb,938.0204,0.6494,12
6ENY_27w.pdb,938.0204,0.6494,12
6ENY_28w.pdb,938.0204,0.6494,12
6ENY_29w.pdb,938.0204,0.6494,12
6ENY_2w.pdb,938.0204,0.6494,12
6ENY_30w.pdb,938.0204,0.6494,12
6ENY_31w.pdb,938.0204,0.6494,12
6ENY_32w.pdb,938.0204,0.6494,12
6ENY_33w.pdb,938.0204,0.6494,12
6ENY_34w.pdb,938.0204,0.6494,12
6ENY_35w.pdb,938.0204,0.6494,12
6ENY_36w.pdb,938.0204,0.6494,12
6ENY_37w.pdb,938.0204,0.6494,12
6ENY_38w.pdb,938.0204,0.6494,12
6ENY_39w.pdb,938.0204,0.6494,12
6ENY_3w.pdb,938.0204,0.6494,12
6ENY_40w.pdb,938.0204,0.6494,12
6ENY_41w.pdb,938.0204,0.6494,12
6ENY_42w.pdb,938.0204,0.6494,12
6ENY_43w.pdb,938.0204,0.6494,12
6ENY_44w.pdb,938.0204,0.6494,12
6ENY_45w.pdb,938.0204,0.6494,12
6ENY_46w.pdb,938.0204,0.6494,12
6ENY_47w.pdb,938.0204,0.6494,12
6ENY_48w.pdb,938.0204,0.6494,12
6ENY_49w.pdb,938.0204,0.6494,12
6ENY_4w.pdb,938.0204,0.6494,12
6ENY_50w.pdb,938.0204,0.6494,12
6ENY_5w.pdb,938.0204,0.6494,12
6ENY_6w.pdb,938.0204,0.6494,12
6ENY_7w.pdb,938.0204,0.6494,12
6ENY_8w.pdb,938.0204,0.6494,12
6ENY_9w.pdb,938.0204,0.6494,12
