structure,HADDOCK-score,correlation,atomic-clashes
6C3P_10w.pdb,-2320.5391,0.5307,1
6C3P_11w.pdb,-2139.8034,0.5391,1
6C3P_12w.pdb,-2190.1759,0.5385,3
6C3P_13w.pdb,-2240.65272,0.5338,0
6C3P_14w.pdb,-2246.5712,0.5413,1
6C3P_15w.pdb,-2220.7459,0.5341,2
6C3P_16w.pdb,-2166.20774,0.5381,0
6C3P_17w.pdb,-2139.13089,0.5431,1
6C3P_18w.pdb,-2096.42172,0.5428,4
6C3P_19w.pdb,-2313.90935,0.5368,2
6C3P_1w.pdb,-2075.7932,0.5397,1
6C3P_20w.pdb,-2075.7617,0.5399,0
6C3P_21w.pdb,-2266.7528,0.538,1
6C3P_22w.pdb,-2147.8069,0.5376,1
6C3P_23w.pdb,-2159.7007,0.5338,1
6C3P_24w.pdb,-2200.4959,0.5376,2
6C3P_25w.pdb,-2069.962,0.5373,2
6C3P_26w.pdb,-2096.42172,0.5428,4
6C3P_27w.pdb,-2087.1439,0.5344,0
6C3P_28w.pdb,-2209.08653,0.5374,0
6C3P_29w.pdb,-2232.0763,0.5308,1
6C3P_2w.pdb,-2095.61488,0.5364,0
6C3P_30w.pdb,-2194.8196,0.5409,2
6C3P_31w.pdb,-2151.78188,0.5368,1
6C3P_32w.pdb,-2191.3303,0.5379,1
6C3P_33w.pdb,-2177.7895,0.5415,0
6C3P_34w.pdb,-2137.26128,0.542,1
6C3P_35w.pdb,-2214.7365,0.5349,0
6C3P_36w.pdb,-2209.2637,0.5337,0
6C3P_37w.pdb,-2154.13135,0.5317,0
6C3P_38w.pdb,-2182.9795,0.5347,2
6C3P_39w.pdb,-2096.62917,0.5399,1
6C3P_3w.pdb,-2298.7515,0.5391,0
6C3P_40w.pdb,-2115.7604,0.5397,0
6C3P_41w.pdb,-2134.28,0.5371,0
6C3P_42w.pdb,-2162.0499,0.5384,1
6C3P_43w.pdb,-2125.9941,0.539,1
6C3P_44w.pdb,-2176.8608,0.5342,0
6C3P_45w.pdb,-2009.1951,0.5388,1
6C3P_46w.pdb,-2177.415,0.5366,0
6C3P_47w.pdb,-2200.37887,0.5407,1
6C3P_48w.pdb,-2243.2627,0.5374,0
6C3P_49w.pdb,-2157.8846,0.5398,0
6C3P_4w.pdb,-2076.31749,0.5371,1
6C3P_50w.pdb,-2191.44329,0.5388,1
6C3P_5w.pdb,-2130.4564,0.5499,1
6C3P_6w.pdb,-2285.9302,0.5392,1
6C3P_7w.pdb,-2317.7601,0.5388,0
6C3P_8w.pdb,-2198.3244,0.5413,1
6C3P_9w.pdb,-2210.802,0.5337,0
