structure,HADDOCK-score,correlation,atomic-clashes
6R7I_10w.pdb,-648.7016,0.84,13
6R7I_11w.pdb,-804.3158,0.8428,12
6R7I_12w.pdb,-684.2187,0.8379,12
6R7I_13w.pdb,-733.6255,0.8433,13
6R7I_14w.pdb,-754.8657,0.842,14
6R7I_15w.pdb,-684.4451,0.842,13
6R7I_16w.pdb,-770.6644,0.847,13
6R7I_17w.pdb,-612.5437,0.8368,13
6R7I_18w.pdb,-710.2068,0.8391,13
6R7I_19w.pdb,-730.6649,0.8425,13
6R7I_1w.pdb,-769.3657,0.846,14
6R7I_20w.pdb,-714.761,0.84,14
6R7I_21w.pdb,-678.2308,0.8347,15
6R7I_22w.pdb,-793.4039,0.8419,12
6R7I_23w.pdb,-746.2393,0.8408,13
6R7I_24w.pdb,-799.8583,0.8522,13
6R7I_25w.pdb,-774.1962,0.8408,13
6R7I_26w.pdb,-717.984,0.841,12
6R7I_27w.pdb,-2262.5602,0.843,1
6R7I_28w.pdb,-591.6114,0.834,13
6R7I_29w.pdb,-794.5272,0.8402,12
6R7I_2w.pdb,-672.2864,0.8402,13
6R7I_30w.pdb,-701.0207,0.8373,13
6R7I_31w.pdb,-692.065,0.8447,12
6R7I_32w.pdb,-796.5741,0.8422,12
6R7I_33w.pdb,-780.1549,0.8419,12
6R7I_34w.pdb,-703.2343,0.8375,14
6R7I_35w.pdb,-764.0533,0.8431,12
6R7I_36w.pdb,-758.7443,0.8454,13
6R7I_37w.pdb,-834.887,0.8425,14
6R7I_38w.pdb,-717.0773,0.8425,13
6R7I_39w.pdb,-779.717,0.8366,13
6R7I_3w.pdb,-696.5819,0.8409,13
6R7I_40w.pdb,-763.9753,0.8421,12
6R7I_41w.pdb,-616.6296,0.8387,12
6R7I_42w.pdb,-750.5222,0.844,13
6R7I_43w.pdb,-809.8972,0.8465,12
6R7I_44w.pdb,-762.5286,0.8458,12
6R7I_45w.pdb,-794.6593,0.8418,14
6R7I_46w.pdb,-708.2327,0.8369,15
6R7I_47w.pdb,-702.1834,0.8398,12
6R7I_48w.pdb,-804.6271,0.8428,13
6R7I_49w.pdb,-761.9393,0.8473,12
6R7I_4w.pdb,-744.5625,0.837,12
6R7I_50w.pdb,-759.7908,0.8456,13
6R7I_5w.pdb,-750.0894,0.8469,12
6R7I_6w.pdb,-719.6895,0.8326,13
6R7I_7w.pdb,-669.3314,0.8408,13
6R7I_8w.pdb,-578.361,0.8372,13
6R7I_9w.pdb,-814.4069,0.8445,12
