structure,HADDOCK-score,correlation,atomic-clashes
6IRF_10w.pdb,-1238.27246,0.881,2
6IRF_11w.pdb,-1135.68276,0.8791,1
6IRF_12w.pdb,-1220.96208,0.8815,1
6IRF_13w.pdb,-1231.23125,0.8846,1
6IRF_14w.pdb,-1318.441,0.883,0
6IRF_15w.pdb,-1139.0932,0.8821,0
6IRF_16w.pdb,-1208.11609,0.8839,0
6IRF_17w.pdb,-1282.16912,0.884,0
6IRF_18w.pdb,-1207.57324,0.8821,0
6IRF_19w.pdb,-1207.49679,0.8822,2
6IRF_1w.pdb,-1209.64114,0.8827,0
6IRF_20w.pdb,-1302.44468,0.8826,0
6IRF_21w.pdb,-1332.01431,0.8853,1
6IRF_22w.pdb,-1215.47262,0.8831,1
6IRF_23w.pdb,-1243.81373,0.8825,0
6IRF_24w.pdb,-1134.19855,0.8827,3
6IRF_25w.pdb,-1191.67368,0.879,1
6IRF_26w.pdb,-1272.90012,0.884,1
6IRF_27w.pdb,-1183.72476,0.8822,2
6IRF_28w.pdb,-1296.64943,0.8823,2
6IRF_29w.pdb,-1226.86635,0.8818,1
6IRF_2w.pdb,-1177.13667,0.8811,2
6IRF_30w.pdb,-1174.93341,0.8841,0
6IRF_31w.pdb,-1308.10852,0.882,0
6IRF_32w.pdb,-1236.4884,0.8827,0
6IRF_33w.pdb,-1288.27738,0.8833,0
6IRF_34w.pdb,-1131.98541,0.883,1
6IRF_35w.pdb,-1310.99942,0.8817,1
6IRF_36w.pdb,-1279.00203,0.8849,1
6IRF_37w.pdb,-1291.41623,0.8802,1
6IRF_38w.pdb,-1152.29667,0.8803,2
6IRF_39w.pdb,-1273.53847,0.883,0
6IRF_3w.pdb,-1224.77192,0.8801,3
6IRF_40w.pdb,-1124.32396,0.8811,1
6IRF_41w.pdb,-1253.43207,0.8838,1
6IRF_42w.pdb,-1208.27482,0.8831,2
6IRF_43w.pdb,-1274.63361,0.8835,1
6IRF_44w.pdb,-1221.23,0.8828,0
6IRF_45w.pdb,-1187.25586,0.882,0
6IRF_46w.pdb,-1334.74267,0.8842,0
6IRF_47w.pdb,-1183.91533,0.8825,1
6IRF_48w.pdb,-1281.38976,0.8835,1
6IRF_49w.pdb,-1245.14241,0.8825,0
6IRF_4w.pdb,-1301.05924,0.8839,0
6IRF_50w.pdb,-1137.69501,0.881,0
6IRF_5w.pdb,-1174.40043,0.8819,2
6IRF_6w.pdb,-1300.34943,0.8834,1
6IRF_7w.pdb,-1289.80719,0.8845,1
6IRF_8w.pdb,-1261.3339,0.8828,0
6IRF_9w.pdb,-1182.02554,0.8819,1
