structure,HADDOCK-score,correlation,atomic-clashes
6AHF_10w.pdb,-961.2178,0.8614,0
6AHF_11w.pdb,-1057.2838,0.8801,0
6AHF_12w.pdb,-963.6179,0.8753,0
6AHF_13w.pdb,-1036.4561,0.8697,2
6AHF_14w.pdb,-1060.2578,0.8753,0
6AHF_15w.pdb,-1209.06529,0.8601,1
6AHF_16w.pdb,-1008.9423,0.8673,0
6AHF_17w.pdb,-973.6774,0.8708,0
6AHF_18w.pdb,-1096.6826,0.8741,0
6AHF_19w.pdb,-934.8111,0.868,1
6AHF_1w.pdb,-979.8404,0.8723,0
6AHF_20w.pdb,-1145.1648,0.8769,0
6AHF_21w.pdb,-932.5152,0.8739,0
6AHF_22w.pdb,-1040.461,0.8782,0
6AHF_23w.pdb,-873.23938,0.8948,1
6AHF_24w.pdb,-983.2774,0.8768,0
6AHF_25w.pdb,-1106.18056,0.8746,0
6AHF_26w.pdb,-1000.9658,0.8678,0
6AHF_27w.pdb,-1144.128,0.863,1
6AHF_28w.pdb,-873.23938,0.8948,1
6AHF_29w.pdb,-911.1197,0.8703,0
6AHF_2w.pdb,-989.1488,0.8791,0
6AHF_30w.pdb,-1001.5741,0.8732,0
6AHF_31w.pdb,-1094.01625,0.8691,1
6AHF_32w.pdb,-1007.76455,0.8761,1
6AHF_33w.pdb,-1032.12684,0.8719,0
6AHF_34w.pdb,-1145.15335,0.8691,0
6AHF_35w.pdb,-926.081,0.8655,0
6AHF_36w.pdb,-873.23938,0.8948,1
6AHF_37w.pdb,-873.23938,0.8948,1
6AHF_38w.pdb,-941.3906,0.8706,0
6AHF_39w.pdb,-1019.56794,0.8704,0
6AHF_3w.pdb,-957.5559,0.8739,1
6AHF_40w.pdb,-1030.0133,0.8645,1
6AHF_41w.pdb,-1000.322,0.8689,1
6AHF_42w.pdb,-1043.6073,0.8798,0
6AHF_43w.pdb,-863.33734,0.8654,0
6AHF_44w.pdb,-925.8986,0.8649,0
6AHF_45w.pdb,-873.23938,0.8948,1
6AHF_46w.pdb,-945.4624,0.8772,0
6AHF_47w.pdb,-994.4096,0.8703,0
6AHF_48w.pdb,-980.23031,0.8668,0
6AHF_49w.pdb,-1010.8496,0.8658,0
6AHF_4w.pdb,-922.51125,0.8726,0
6AHF_50w.pdb,-1024.2515,0.8704,0
6AHF_5w.pdb,-1053.4021,0.8776,0
6AHF_6w.pdb,-1030.3613,0.873,0
6AHF_7w.pdb,-1059.5472,0.8799,1
6AHF_8w.pdb,-1049.7684,0.8752,1
6AHF_9w.pdb,-1131.81115,0.8683,0
