structure,HADDOCK-score,correlation,atomic-clashes
3J95_10w.pdb,-1342.1284,0.9315,0
3J95_11w.pdb,-1235.40428,0.9283,1
3J95_12w.pdb,-1222.2304,0.9302,0
3J95_13w.pdb,-1319.0772,0.9321,0
3J95_14w.pdb,-1250.04,0.9305,0
3J95_15w.pdb,-1235.3299,0.9318,0
3J95_16w.pdb,-1269.847,0.9323,0
3J95_17w.pdb,-1208.1929,0.9319,0
3J95_18w.pdb,-1343.7052,0.9315,0
3J95_19w.pdb,-1287.5389,0.9323,0
3J95_1w.pdb,-1313.4132,0.9317,1
3J95_20w.pdb,-1331.5007,0.9304,0
3J95_21w.pdb,-1340.0904,0.9313,1
3J95_22w.pdb,-1225.592,0.9305,0
3J95_23w.pdb,-1186.99795,0.9312,0
3J95_24w.pdb,-1289.8776,0.9317,0
3J95_25w.pdb,-1303.59,0.9308,2
3J95_26w.pdb,-1348.8446,0.9322,0
3J95_27w.pdb,-1195.7696,0.932,0
3J95_28w.pdb,-1188.1977,0.9311,0
3J95_29w.pdb,-1178.155,0.9296,0
3J95_2w.pdb,-1283.6147,0.933,0
3J95_30w.pdb,-1172.8617,0.9308,1
3J95_31w.pdb,-1171.6621,0.9304,1
3J95_32w.pdb,-1310.9194,0.931,0
3J95_33w.pdb,-1190.4693,0.9309,0
3J95_34w.pdb,-1319.7122,0.931,0
3J95_35w.pdb,-1249.955,0.9312,0
3J95_36w.pdb,-1315.6162,0.9313,0
3J95_37w.pdb,-1180.1156,0.9311,0
3J95_38w.pdb,-1356.7103,0.9311,0
3J95_39w.pdb,-1280.4797,0.9312,0
3J95_3w.pdb,-1264.2648,0.9303,0
3J95_40w.pdb,-1228.0761,0.9324,0
3J95_41w.pdb,-1194.62176,0.9295,0
3J95_42w.pdb,-114.3756,0.9281,1
3J95_43w.pdb,-1313.6314,0.9313,0
3J95_44w.pdb,-1390.4806,0.9306,0
3J95_45w.pdb,-1240.537,0.9299,1
3J95_46w.pdb,-1263.4703,0.9331,1
3J95_47w.pdb,-1239.6749,0.9318,1
3J95_48w.pdb,-1244.1462,0.932,0
3J95_49w.pdb,-1222.1325,0.9292,0
3J95_4w.pdb,-1291.4286,0.9311,1
3J95_50w.pdb,-1283.74987,0.9324,0
3J95_5w.pdb,-1247.934,0.9318,0
3J95_6w.pdb,-1221.5711,0.9308,0
3J95_7w.pdb,-1271.4281,0.9318,0
3J95_8w.pdb,-1289.2265,0.9317,0
3J95_9w.pdb,-1323.4628,0.931,1
