structure,HADDOCK-score,atomic-clashes
3J95_1.pdb,-2657.5401,0
3J95_10.pdb,-2727.5899,0
3J95_11.pdb,-2738.4103,2
3J95_12.pdb,-2818.0657,0
3J95_13.pdb,-2686.5139,0
3J95_14.pdb,-2764.4298,0
3J95_15.pdb,-2594.1169,0
3J95_16.pdb,-2546.6094,0
3J95_17.pdb,-3010.2613,1
3J95_18.pdb,-2784.2906,1
3J95_19.pdb,-2731.7658,0
3J95_2.pdb,-2896.0304,0
3J95_20.pdb,-2717.5757,1
3J95_21.pdb,-2644.2392,3
3J95_22.pdb,-2811.6732,0
3J95_23.pdb,-2515.0035,0
3J95_24.pdb,-2839.7561,0
3J95_25.pdb,-2742.43,0
3J95_26.pdb,-2864.9185,1
3J95_27.pdb,-2671.7288,2
3J95_28.pdb,-2585.1785,0
3J95_29.pdb,-2517.1613,0
3J95_3.pdb,-2807.0674,1
3J95_30.pdb,-2751.4302,1
3J95_31.pdb,-2745.6826,1
3J95_32.pdb,-2742.3764,0
3J95_33.pdb,-2730.4568,2
3J95_34.pdb,-2679.183,1
3J95_35.pdb,-2774.7933,1
3J95_36.pdb,-2842.4496,0
3J95_37.pdb,-2654.5592,0
3J95_38.pdb,-2912.4179,1
3J95_39.pdb,-2678.0554,0
3J95_4.pdb,-2949.4086,0
3J95_40.pdb,-2580.2328,0
3J95_41.pdb,-2793.3203,0
3J95_42.pdb,-2665.4266,0
3J95_43.pdb,-2637.54,0
3J95_44.pdb,-2754.6695,0
3J95_45.pdb,-2715.697,2
3J95_46.pdb,-2747.6613,0
3J95_47.pdb,-2796.6398,0
3J95_48.pdb,-2912.7666,2
3J95_49.pdb,-2675.192,3
3J95_5.pdb,-2729.9088,0
3J95_50.pdb,-2739.0616,0
3J95_6.pdb,-2655.6484,1
3J95_7.pdb,-2770.3378,2
3J95_8.pdb,-1578.4209,1
3J95_9.pdb,-2651.9732,0
