structure,HADDOCK-score,atomic-clashes
6C3P_1.pdb,-3434.023,1
6C3P_10.pdb,-3899.6906,7
6C3P_11.pdb,-3598.0126,4
6C3P_12.pdb,-3541.4092,10
6C3P_13.pdb,-3795.6525,5
6C3P_14.pdb,-3860.4158,5
6C3P_15.pdb,-3727.1676,7
6C3P_16.pdb,-3632.8579,3
6C3P_17.pdb,-3589.5414,5
6C3P_18.pdb,-3046.0403,10
6C3P_19.pdb,-3857.9434,9
6C3P_2.pdb,-3530.137,3
6C3P_20.pdb,-3429.8226,6
6C3P_21.pdb,-3815.0497,11
6C3P_22.pdb,-3586.0483,4
6C3P_23.pdb,-3612.6767,3
6C3P_24.pdb,-3703.6372,6
6C3P_25.pdb,-3461.5731,3
6C3P_26.pdb,-3046.0403,10
6C3P_27.pdb,-3522.6109,4
6C3P_28.pdb,-3546.3249,9
6C3P_29.pdb,-3766.1028,7
6C3P_3.pdb,-3903.6123,9
6C3P_30.pdb,-3661.7905,5
6C3P_31.pdb,-3561.4224,3
6C3P_32.pdb,-3716.545,7
6C3P_33.pdb,-3531.5298,7
6C3P_34.pdb,-3545.0704,6
6C3P_35.pdb,-3776.8924,9
6C3P_36.pdb,-3745.4558,2
6C3P_37.pdb,-3513.1937,4
6C3P_38.pdb,-3608.2175,6
6C3P_39.pdb,-3500.5243,5
6C3P_4.pdb,-3431.594,5
6C3P_40.pdb,-3561.0603,4
6C3P_41.pdb,-3636.8124,7
6C3P_42.pdb,-3450.3238,6
6C3P_43.pdb,-3628.4475,5
6C3P_44.pdb,-3638.3678,9
6C3P_45.pdb,-3310.7528,3
6C3P_46.pdb,-3584.3797,4
6C3P_47.pdb,-3715.9738,5
6C3P_48.pdb,-3709.7305,3
6C3P_49.pdb,-3520.8269,3
6C3P_5.pdb,-3488.406,2
6C3P_50.pdb,-3639.2597,1
6C3P_6.pdb,-3778.5368,8
6C3P_7.pdb,-3839.0924,4
6C3P_8.pdb,-3678.8275,5
6C3P_9.pdb,-3555.8587,3
