structure,HADDOCK-score,atomic-clashes
6N8T_1.pdb,-4847.4404,13
6N8T_10.pdb,-4438.8659,17
6N8T_11.pdb,-4482.33446,20
6N8T_12.pdb,-4482.33446,20
6N8T_13.pdb,-4737.6885,12
6N8T_14.pdb,-4909.6475,14
6N8T_15.pdb,-4899.1824,14
6N8T_16.pdb,-4300.5877,18
6N8T_17.pdb,-4590.1777,12
6N8T_18.pdb,-4886.1641,12
6N8T_19.pdb,-4482.33446,20
6N8T_2.pdb,-5371.7961,14
6N8T_20.pdb,-5072.0368,16
6N8T_21.pdb,-4780.2101,10
6N8T_22.pdb,-4840.6583,14
6N8T_23.pdb,-4868.049,12
6N8T_24.pdb,-4929.9215,13
6N8T_25.pdb,-5138.1659,15
6N8T_26.pdb,-4482.33446,20
6N8T_27.pdb,-5119.6878,14
6N8T_28.pdb,-4631.2116,13
6N8T_29.pdb,-4980.4076,14
6N8T_3.pdb,-4482.33446,20
6N8T_30.pdb,-5370.4417,12
6N8T_31.pdb,-4787.3755,14
6N8T_32.pdb,-4456.1741,15
6N8T_33.pdb,-4495.9791,8
6N8T_34.pdb,-4583.4381,12
6N8T_35.pdb,-5091.0124,11
6N8T_36.pdb,-4482.33446,20
6N8T_37.pdb,-4482.33446,20
6N8T_38.pdb,-4780.5995,11
6N8T_39.pdb,-4764.5185,15
6N8T_4.pdb,-4494.5616,12
6N8T_40.pdb,-4884.8691,10
6N8T_41.pdb,-4523.8975,14
6N8T_42.pdb,-5145.9588,13
6N8T_43.pdb,-4482.33446,20
6N8T_44.pdb,-4810.7629,14
6N8T_45.pdb,-4812.8645,11
6N8T_46.pdb,-4653.6099,17
6N8T_47.pdb,-5140.2526,11
6N8T_48.pdb,-4980.5618,14
6N8T_49.pdb,-4482.33446,20
6N8T_5.pdb,-5306.6299,12
6N8T_50.pdb,-4734.8396,12
6N8T_6.pdb,-5092.614,12
6N8T_7.pdb,-5003.2756,14
6N8T_8.pdb,-4482.33446,20
6N8T_9.pdb,-4697.1076,15
