structure,HADDOCK-score,atomic-clashes
6N8Z_1.pdb,,8
6N8Z_10.pdb,,14
6N8Z_11.pdb,,10
6N8Z_12.pdb,,13
6N8Z_13.pdb,,16
6N8Z_14.pdb,,13
6N8Z_15.pdb,,12
6N8Z_16.pdb,,13
6N8Z_17.pdb,,14
6N8Z_18.pdb,,6
6N8Z_19.pdb,,9
6N8Z_2.pdb,,12
6N8Z_20.pdb,,14
6N8Z_21.pdb,,15
6N8Z_22.pdb,,10
6N8Z_23.pdb,,13
6N8Z_24.pdb,,16
6N8Z_25.pdb,,9
6N8Z_26.pdb,,12
6N8Z_28.pdb,,12
6N8Z_29.pdb,,11
6N8Z_3.pdb,,17
6N8Z_30.pdb,,7
6N8Z_31.pdb,,7
6N8Z_32.pdb,,12
6N8Z_33.pdb,,8
6N8Z_34.pdb,,14
6N8Z_35.pdb,,16
6N8Z_36.pdb,,11
6N8Z_37.pdb,,15
6N8Z_38.pdb,,12
6N8Z_39.pdb,,12
6N8Z_4.pdb,,24
6N8Z_40.pdb,,9
6N8Z_41.pdb,,14
6N8Z_42.pdb,,12
6N8Z_43.pdb,,11
6N8Z_44.pdb,,12
6N8Z_45.pdb,,14
6N8Z_46.pdb,,13
6N8Z_47.pdb,,10
6N8Z_48.pdb,,14
6N8Z_49.pdb,,9
6N8Z_5.pdb,,11
6N8Z_50.pdb,,8
6N8Z_6.pdb,,12
6N8Z_8.pdb,,11
6N8Z_9.pdb,,14
