structure,HADDOCK-score,correlation,atomic-clashes
5HNY_10w.pdb,-381.58028,0.9334,0
5HNY_11w.pdb,-351.94387,0.9365,0
5HNY_12w.pdb,-390.84427,0.9345,1
5HNY_13w.pdb,-356.69027,0.9352,0
5HNY_14w.pdb,-390.443152,0.9345,0
5HNY_15w.pdb,-421.45374,0.9352,2
5HNY_16w.pdb,-408.237791,0.9351,0
5HNY_17w.pdb,-332.795424,0.9332,0
5HNY_18w.pdb,-387.428954,0.9339,0
5HNY_19w.pdb,-378.85414,0.936,0
5HNY_1w.pdb,-376.93234,0.9349,0
5HNY_20w.pdb,-394.86748,0.9333,1
5HNY_21w.pdb,-400.073686,0.9339,0
5HNY_22w.pdb,-405.611752,0.9364,0
5HNY_23w.pdb,-413.492296,0.935,0
5HNY_24w.pdb,-342.63527,0.9326,0
5HNY_25w.pdb,-378.003852,0.9358,2
5HNY_26w.pdb,-398.847908,0.9344,0
5HNY_27w.pdb,-356.01396,0.9334,0
5HNY_28w.pdb,-413.25999,0.9349,1
5HNY_29w.pdb,-360.830692,0.9402,4
5HNY_2w.pdb,-430.690115,0.9346,0
5HNY_30w.pdb,-361.59005,0.9302,0
5HNY_31w.pdb,-406.568101,0.9374,0
5HNY_32w.pdb,-360.830692,0.9402,4
5HNY_33w.pdb,-374.65984,0.9359,0
5HNY_34w.pdb,-404.376969,0.9348,1
5HNY_35w.pdb,-356.871603,0.9336,0
5HNY_36w.pdb,-452.166449,0.9346,1
5HNY_37w.pdb,-360.830692,0.9402,4
5HNY_38w.pdb,-407.480721,0.9362,0
5HNY_39w.pdb,-380.140493,0.9312,1
5HNY_3w.pdb,-400.14262,0.9343,0
5HNY_40w.pdb,-418.339210613,0.9349,0
5HNY_41w.pdb,-378.39165,0.9339,0
5HNY_42w.pdb,-390.705875,0.9338,0
5HNY_43w.pdb,-397.023614,0.9347,0
5HNY_44w.pdb,-403.205481,0.935,1
5HNY_45w.pdb,-442.72324,0.9346,1
5HNY_46w.pdb,-349.570781,0.935,0
5HNY_47w.pdb,-420.252624,0.9355,0
5HNY_48w.pdb,-387.9097,0.9359,0
5HNY_49w.pdb,-391.149972,0.9356,0
5HNY_4w.pdb,-397.814886,0.9359,0
5HNY_50w.pdb,-460.2274,0.9344,0
5HNY_5w.pdb,-374.97009,0.9354,1
5HNY_6w.pdb,-395.475036,0.9359,2
5HNY_7w.pdb,-411.963068,0.9345,0
5HNY_8w.pdb,-408.46197,0.9349,0
5HNY_9w.pdb,-411.39253,0.9352,1
