structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-2116.31291,0.8882,0
5GRS_11w.pdb,-2352.8578,0.8919,0
5GRS_12w.pdb,-2313.930996,0.8918,0
5GRS_13w.pdb,-2249.62441,0.8904,0
5GRS_14w.pdb,-2195.47429,0.8934,0
5GRS_15w.pdb,-2279.90043,0.8865,2
5GRS_16w.pdb,-2304.71852,0.8881,1
5GRS_17w.pdb,-2302.83284,0.8886,0
5GRS_18w.pdb,-2129.89257,0.8892,0
5GRS_19w.pdb,-2290.454465,0.8944,1
5GRS_1w.pdb,-2221.07865,0.8912,1
5GRS_20w.pdb,-2181.87016,0.8883,0
5GRS_21w.pdb,-2296.57831,0.8912,0
5GRS_22w.pdb,-2301.43897,0.8897,0
5GRS_23w.pdb,-2208.26113,0.8912,0
5GRS_24w.pdb,-2295.66544,0.8909,1
5GRS_25w.pdb,-2233.53821,0.8882,0
5GRS_26w.pdb,-2306.28227,0.8904,2
5GRS_27w.pdb,-2287.019553,0.8919,0
5GRS_28w.pdb,-2378.696889,0.8938,0
5GRS_29w.pdb,-2198.54558,0.8903,1
5GRS_2w.pdb,-2180.96896,0.8892,1
5GRS_30w.pdb,-2289.59113,0.8916,2
5GRS_31w.pdb,-2233.47994,0.8929,0
5GRS_32w.pdb,-2305.10205,0.8867,0
5GRS_33w.pdb,-2204.82171,0.8911,0
5GRS_34w.pdb,-2160.80931,0.8909,0
5GRS_35w.pdb,-2222.73098,0.8933,1
5GRS_36w.pdb,-2039.81194,0.8887,1
5GRS_37w.pdb,-2299.13917,0.8929,1
5GRS_38w.pdb,-2206.85786,0.8917,0
5GRS_39w.pdb,-2068.99584,0.8888,1
5GRS_3w.pdb,-2072.15181,0.8869,0
5GRS_40w.pdb,-2185.2736,0.8908,0
5GRS_41w.pdb,-2116.47266,0.8889,0
5GRS_42w.pdb,-2263.97168,0.8896,1
5GRS_43w.pdb,-2185.46435,0.8882,2
5GRS_44w.pdb,-2367.11218,0.8904,1
5GRS_45w.pdb,-2287.78184,0.8896,0
5GRS_46w.pdb,-2169.25008,0.8912,0
5GRS_47w.pdb,-2291.42324,0.8896,0
5GRS_48w.pdb,-2342.901989,0.8916,0
5GRS_49w.pdb,-2345.4102,0.8906,0
5GRS_4w.pdb,-2103.72376,0.8898,0
5GRS_50w.pdb,-2374.121253,0.8927,1
5GRS_5w.pdb,-2180.09791,0.8895,0
5GRS_6w.pdb,-2281.470998,0.89,0
5GRS_7w.pdb,-2164.4252,0.8887,0
5GRS_8w.pdb,-2274.876508,0.8907,0
5GRS_9w.pdb,-2315.518312,0.891,0
