structure,HADDOCK-score,correlation
6C3P_1.pdb,-3228.507,0.5377
6C3P_10.pdb,-3577.2587,0.5269
6C3P_11.pdb,-3105.7782,0.5368
6C3P_12.pdb,-3179.8527,0.5307
6C3P_13.pdb,-3248.5976,0.5318
6C3P_14.pdb,-3283.1335,0.5335
6C3P_15.pdb,-3268.895,0.5273
6C3P_16.pdb,-3052.0775,0.5168
6C3P_17.pdb,-3288.577,0.5333
6C3P_18.pdb,-3423.0123,0.5358
6C3P_19.pdb,-3020.6141,0.5305
6C3P_2.pdb,-3137.0346,0.5191
6C3P_20.pdb,-3251.1301,0.5288
6C3P_21.pdb,-3611.8693,0.5353
6C3P_22.pdb,-3050.0843,0.5306
6C3P_23.pdb,-3408.3817,0.5356
6C3P_24.pdb,-3198.0789,0.5236
6C3P_25.pdb,-3438.9382,0.5308
6C3P_26.pdb,-3193.413,0.5409
6C3P_27.pdb,-3134.5916,0.5232
6C3P_28.pdb,-3018.5263,0.5136
6C3P_29.pdb,-3427.5934,0.535
6C3P_3.pdb,-3369.447,0.5405
6C3P_30.pdb,-3603.6292,0.5296
6C3P_31.pdb,-3402.1359,0.5337
6C3P_32.pdb,-3430.402,0.5203
6C3P_33.pdb,-3613.0068,0.5376
6C3P_34.pdb,-3247.5193,0.5428
6C3P_35.pdb,-3591.6528,0.5386
6C3P_36.pdb,-3612.7132,0.5265
6C3P_37.pdb,-3203.2875,0.5178
6C3P_38.pdb,-3441.8939,0.536
6C3P_39.pdb,-3247.1158,0.5343
6C3P_4.pdb,-2707.134,0.5097
6C3P_40.pdb,-3308.9748,0.5413
6C3P_41.pdb,-3353.8355,0.5394
6C3P_42.pdb,-3208.4193,0.5341
6C3P_43.pdb,-3230.3557,0.5404
6C3P_44.pdb,-3518.3147,0.5337
6C3P_45.pdb,-3429.847,0.5313
6C3P_46.pdb,-3319.2359,0.5301
6C3P_47.pdb,-3225.324,0.5241
6C3P_48.pdb,-3107.5077,0.5168
6C3P_49.pdb,-3334.2276,0.5217
6C3P_5.pdb,-3540.6026,0.5354
6C3P_50.pdb,-3502.3429,0.543
6C3P_6.pdb,-3336.0339,0.5369
6C3P_7.pdb,-3136.4339,0.5243
6C3P_8.pdb,-3483.1339,0.5329
6C3P_9.pdb,-3189.3278,0.5184
