structure,HADDOCK-score,correlation
6ACG_1.pdb,,0.8616
6ACG_11.pdb,,0.8607
6ACG_13.pdb,,0.8593
6ACG_16.pdb,,0.8589
6ACG_17.pdb,,0.8566
6ACG_19.pdb,,0.8571
6ACG_2.pdb,,0.859
6ACG_20.pdb,,0.8588
6ACG_21.pdb,,0.8597
6ACG_24.pdb,,0.8609
6ACG_25.pdb,,0.8578
6ACG_26.pdb,,0.8597
6ACG_27.pdb,,0.8596
6ACG_29.pdb,,0.8589
6ACG_3.pdb,,0.8587
6ACG_30.pdb,,0.8617
6ACG_31.pdb,,0.8583
6ACG_33.pdb,,0.8593
6ACG_35.pdb,,0.8555
6ACG_36.pdb,,0.8593
6ACG_37.pdb,,0.8598
6ACG_38.pdb,,0.8585
6ACG_39.pdb,,0.8613
6ACG_40.pdb,,0.8588
6ACG_41.pdb,,0.8563
6ACG_43.pdb,,0.8571
6ACG_45.pdb,,0.8579
6ACG_47.pdb,,0.859
6ACG_48.pdb,,0.858
6ACG_49.pdb,,0.8568
6ACG_5.pdb,,0.8601
6ACG_50.pdb,,0.8605
6ACG_6.pdb,,0.8581
6ACG_7.pdb,,0.8582
6ACG_8.pdb,,0.8573
6ACG_9.pdb,,0.8569
