structure,HADDOCK-score,atomic-clashes
6R7I_1.pdb,-3931.9439,20
6R7I_10.pdb,-4028.1433,19
6R7I_11.pdb,-4083.4064,19
6R7I_12.pdb,-4112.354,19
6R7I_13.pdb,-3641.0183,19
6R7I_14.pdb,-3825.0502,18
6R7I_15.pdb,-3868.9015,18
6R7I_16.pdb,-3928.7709,19
6R7I_17.pdb,-4308.2659,23
6R7I_18.pdb,-3717.3143,17
6R7I_19.pdb,-3847.9955,19
6R7I_2.pdb,-3848.7707,18
6R7I_20.pdb,-3819.6345,19
6R7I_21.pdb,-4040.3386,21
6R7I_22.pdb,-3891.9505,20
6R7I_23.pdb,-3665.8688,17
6R7I_24.pdb,-3974.649,18
6R7I_25.pdb,-4107.7778,18
6R7I_26.pdb,-3972.8276,18
6R7I_27.pdb,-3845.9909,20
6R7I_28.pdb,-4172.8626,19
6R7I_29.pdb,-4073.0024,21
6R7I_3.pdb,-3745.6522,18
6R7I_30.pdb,-3853.7854,20
6R7I_31.pdb,-3653.8487,20
6R7I_32.pdb,-3794.3952,18
6R7I_33.pdb,-3892.5359,18
6R7I_34.pdb,-3871.5592,19
6R7I_35.pdb,-3901.723,20
6R7I_36.pdb,-3808.7701,18
6R7I_37.pdb,-4083.865,20
6R7I_38.pdb,-3949.6741,18
6R7I_39.pdb,-3995.1194,22
6R7I_4.pdb,-3866.5958,20
6R7I_40.pdb,-3828.3865,19
6R7I_41.pdb,-3645.9135,17
6R7I_42.pdb,-4082.4892,21
6R7I_43.pdb,-4007.5436,21
6R7I_44.pdb,-4103.9687,17
6R7I_45.pdb,-3761.3812,19
6R7I_46.pdb,-4008.0588,19
6R7I_47.pdb,-3717.9927,20
6R7I_48.pdb,-3719.9486,18
6R7I_49.pdb,-3763.3805,20
6R7I_5.pdb,-3814.7716,21
6R7I_50.pdb,-3911.5364,20
6R7I_6.pdb,-3994.8947,19
6R7I_7.pdb,-3505.2717,18
6R7I_8.pdb,-3724.8793,18
6R7I_9.pdb,-3965.7732,20
