structure,HADDOCK-score,correlation
6UC0_1.pdb,-2753.428,0.9303
6UC0_10.pdb,-3019.1623,0.9294
6UC0_11.pdb,-2805.4283,0.9302
6UC0_12.pdb,-2872.153,0.9334
6UC0_13.pdb,-2864.2217,0.932
6UC0_14.pdb,-2855.4382,0.9304
6UC0_15.pdb,-2812.0565,0.9285
6UC0_16.pdb,-2848.6532,0.9289
6UC0_17.pdb,-2987.4174,0.9313
6UC0_18.pdb,-2974.0989,0.9304
6UC0_19.pdb,-2806.6764,0.9263
6UC0_2.pdb,-3108.6683,0.932
6UC0_20.pdb,-2966.6958,0.9276
6UC0_21.pdb,-3000.7834,0.9331
6UC0_22.pdb,-3034.9158,0.9305
6UC0_23.pdb,-3114.0225,0.9302
6UC0_24.pdb,-2842.0731,0.9293
6UC0_25.pdb,-3033.1018,0.9296
6UC0_26.pdb,-2645.914,0.9312
6UC0_27.pdb,-2837.0185,0.9309
6UC0_28.pdb,-2843.6918,0.9311
6UC0_29.pdb,-2973.304,0.9318
6UC0_3.pdb,-2879.9875,0.9283
6UC0_30.pdb,-2920.6009,0.9303
6UC0_31.pdb,-2769.0727,0.9313
6UC0_32.pdb,-2382.7593,0.9284
6UC0_33.pdb,-2891.4819,0.9251
6UC0_34.pdb,-2566.3121,0.9282
6UC0_35.pdb,-2793.5065,0.9308
6UC0_36.pdb,-2993.2799,0.9322
6UC0_37.pdb,-3075.2215,0.9302
6UC0_38.pdb,-2722.5926,0.9298
6UC0_39.pdb,-2825.4435,0.9326
6UC0_4.pdb,-2637.9637,0.9298
6UC0_40.pdb,-3173.8675,0.9331
6UC0_41.pdb,-2928.3146,0.9316
6UC0_42.pdb,-2769.6472,0.928
6UC0_43.pdb,-3105.9658,0.9299
6UC0_44.pdb,-2862.202,0.9299
6UC0_45.pdb,-2483.2036,0.925
6UC0_46.pdb,-2946.9458,0.9314
6UC0_47.pdb,-2892.2355,0.9296
6UC0_48.pdb,-2671.7865,0.9314
6UC0_49.pdb,-2967.9904,0.931
6UC0_5.pdb,-2662.3237,0.929
6UC0_50.pdb,-2867.6775,0.9318
6UC0_6.pdb,-2788.3188,0.9267
6UC0_7.pdb,-2942.7444,0.9308
6UC0_8.pdb,-2923.4554,0.9302
6UC0_9.pdb,-2866.8344,0.9299
