structure,HADDOCK-score,correlation
6UBY_1.pdb,-260.8437,0.948
6UBY_10.pdb,-240.9111,0.9476
6UBY_11.pdb,-150.5859,0.9446
6UBY_12.pdb,-237.3361,0.9467
6UBY_13.pdb,-74.0018,0.947
6UBY_14.pdb,24.107,0.9454
6UBY_15.pdb,-304.4948,0.9483
6UBY_16.pdb,-153.0654,0.9454
6UBY_17.pdb,-217.0056,0.9474
6UBY_18.pdb,-323.5314,0.9472
6UBY_19.pdb,-401.2957,0.9478
6UBY_2.pdb,-99.8656,0.9451
6UBY_20.pdb,-28.0027,0.9432
6UBY_21.pdb,-56.8695,0.9453
6UBY_22.pdb,-160.1791,0.9465
6UBY_23.pdb,-278.1332,0.9489
6UBY_24.pdb,-205.516,0.9475
6UBY_25.pdb,-261.3932,0.9489
6UBY_26.pdb,-234.441,0.9468
6UBY_27.pdb,-42.5823,0.9448
6UBY_28.pdb,-6.4639,0.9474
6UBY_29.pdb,-42.1818,0.9443
6UBY_3.pdb,-138.6073,0.9476
6UBY_30.pdb,-63.5973,0.943
6UBY_31.pdb,-94.9629,0.9456
6UBY_32.pdb,-17.0333,0.945
6UBY_33.pdb,-191.8122,0.9474
6UBY_34.pdb,45.4089,0.945
6UBY_35.pdb,-22.5752,0.946
6UBY_36.pdb,-127.9643,0.9463
6UBY_37.pdb,2344.5879,0.9058
6UBY_38.pdb,-196.4783,0.9469
6UBY_39.pdb,-153.2896,0.9454
6UBY_4.pdb,-156.1109,0.9474
6UBY_40.pdb,-127.1774,0.9475
6UBY_41.pdb,-139.9312,0.9471
6UBY_42.pdb,-91.7978,0.9449
6UBY_43.pdb,-125.5699,0.9469
6UBY_44.pdb,-189.9838,0.9463
6UBY_45.pdb,-133.9062,0.9473
6UBY_46.pdb,-214.6776,0.9473
6UBY_47.pdb,-123.4756,0.9444
6UBY_48.pdb,-24.397,0.9443
6UBY_49.pdb,3.2666,0.9448
6UBY_5.pdb,-154.2277,0.9471
6UBY_50.pdb,-292.4053,0.9447
6UBY_6.pdb,-349.8737,0.9483
6UBY_7.pdb,-110.2278,0.9483
6UBY_8.pdb,-360.8044,0.948
6UBY_9.pdb,-427.4477,0.9492
