structure,HADDOCK-score,correlation,atomic-clashes
6AHF_10w.pdb,-1000.89986,0.8803,0
6AHF_11w.pdb,-1088.8855,0.8778,0
6AHF_12w.pdb,-988.1908,0.8772,2
6AHF_13w.pdb,-1042.20871,0.8712,0
6AHF_14w.pdb,-1018.4541,0.8731,0
6AHF_15w.pdb,-1085.9798,0.8733,0
6AHF_16w.pdb,-1049.70023,0.8721,1
6AHF_17w.pdb,-1025.56,0.87,0
6AHF_18w.pdb,-1018.2913,0.8765,0
6AHF_19w.pdb,-1028.369,0.874,0
6AHF_1w.pdb,-1065.3879,0.8745,0
6AHF_20w.pdb,-965.1097,0.8725,0
6AHF_21w.pdb,-985.7139,0.8761,0
6AHF_22w.pdb,-1173.1954,0.8812,0
6AHF_23w.pdb,-957.83973,0.8682,2
6AHF_24w.pdb,-873.23938,0.8948,1
6AHF_25w.pdb,-990.4032,0.8769,0
6AHF_26w.pdb,-988.5508,0.8744,0
6AHF_27w.pdb,-1029.03943,0.8686,1
6AHF_28w.pdb,-881.7266,0.8709,0
6AHF_29w.pdb,-984.6491,0.863,0
6AHF_2w.pdb,-1032.8963,0.8678,2
6AHF_30w.pdb,-981.2253,0.8761,1
6AHF_31w.pdb,-1001.3938,0.872,0
6AHF_32w.pdb,-1060.5183,0.8683,0
6AHF_33w.pdb,-1003.1577,0.8762,0
6AHF_34w.pdb,-951.8581,0.8654,0
6AHF_35w.pdb,-951.729,0.8718,0
6AHF_36w.pdb,-961.1379,0.8668,0
6AHF_37w.pdb,-1031.558,0.8792,2
6AHF_38w.pdb,-943.26677,0.8642,1
6AHF_39w.pdb,-1003.0374,0.8725,1
6AHF_3w.pdb,-873.23938,0.8948,1
6AHF_40w.pdb,-954.2443,0.8748,1
6AHF_41w.pdb,-1046.2624,0.8644,1
6AHF_42w.pdb,-980.30864,0.8748,0
6AHF_43w.pdb,-1062.05801,0.8773,0
6AHF_44w.pdb,-902.9355,0.8693,0
6AHF_45w.pdb,-883.9015,0.8697,0
6AHF_46w.pdb,-975.962,0.8728,1
6AHF_47w.pdb,-1080.1392,0.8765,0
6AHF_48w.pdb,-1128.27024,0.8708,0
6AHF_49w.pdb,-1010.1443,0.8726,0
6AHF_4w.pdb,-1040.71795,0.8727,1
6AHF_50w.pdb,-929.37312,0.8702,1
6AHF_5w.pdb,-1015.9532,0.8562,0
6AHF_6w.pdb,-970.424,0.8695,1
6AHF_7w.pdb,-873.23938,0.8948,1
6AHF_8w.pdb,-1048.5541,0.8721,1
6AHF_9w.pdb,-946.2617,0.8687,0
