structure,HADDOCK-score,correlation
6ENY_1.pdb,-1456.11726,0.8848
6ENY_10.pdb,-1427.3391,0.8839
6ENY_11.pdb,-1368.93375,0.8845
6ENY_12.pdb,-1344.87933,0.8839
6ENY_13.pdb,-1361.58338,0.8847
6ENY_14.pdb,-1297.72259,0.8834
6ENY_15.pdb,-1393.26212,0.885
6ENY_16.pdb,-1447.55084,0.885
6ENY_17.pdb,-1503.80308,0.8833
6ENY_18.pdb,-1540.26952,0.8861
6ENY_19.pdb,-1308.40952,0.8843
6ENY_2.pdb,-1352.96766,0.8838
6ENY_20.pdb,-1358.06989,0.8831
6ENY_21.pdb,-1319.6886,0.8835
6ENY_22.pdb,-1407.4214,0.8854
6ENY_23.pdb,-1343.12655,0.8858
6ENY_24.pdb,-1457.61909,0.885
6ENY_25.pdb,-1327.86951,0.884
6ENY_26.pdb,-1433.65231,0.8866
6ENY_27.pdb,-1372.21806,0.8827
6ENY_28.pdb,-1334.75403,0.8843
6ENY_29.pdb,-1334.84123,0.8857
6ENY_3.pdb,-1310.57027,0.8841
6ENY_30.pdb,-1353.08418,0.8849
6ENY_31.pdb,-1360.12315,0.8845
6ENY_32.pdb,-1473.11749,0.881
6ENY_33.pdb,-1289.64837,0.8854
6ENY_34.pdb,-1294.46467,0.8846
6ENY_35.pdb,-1339.61847,0.883
6ENY_36.pdb,-1407.92358,0.8848
6ENY_37.pdb,-1399.01882,0.8858
6ENY_38.pdb,-1311.77247,0.8843
6ENY_39.pdb,-1288.96354,0.8849
6ENY_4.pdb,-663.1512,0.8076
6ENY_40.pdb,-1449.59649,0.8846
6ENY_41.pdb,-1268.65194,0.8834
6ENY_42.pdb,-1359.0089,0.8835
6ENY_43.pdb,-1319.69974,0.8841
6ENY_44.pdb,-1443.02481,0.8851
6ENY_45.pdb,-1295.10131,0.8841
6ENY_46.pdb,-1246.36026,0.8853
6ENY_47.pdb,-1362.68386,0.8846
6ENY_48.pdb,-1375.24823,0.8853
6ENY_49.pdb,-1389.36783,0.8855
6ENY_5.pdb,-1245.23312,0.8842
6ENY_50.pdb,-1353.79772,0.8844
6ENY_6.pdb,-1360.40438,0.8851
6ENY_7.pdb,-1298.18101,0.8835
6ENY_8.pdb,-1381.73161,0.8846
6ENY_9.pdb,-1379.72469,0.8857
