structure,HADDOCK-score,correlation
6ENY_1.pdb,274.53657,0.8836
6ENY_10.pdb,-1488.09006,0.8847
6ENY_11.pdb,140.5427,0.8831
6ENY_12.pdb,237.82204,0.8819
6ENY_13.pdb,-1397.86885,0.8826
6ENY_14.pdb,276.71989,0.8815
6ENY_15.pdb,-1333.16051,0.8833
6ENY_16.pdb,260.35204,0.8824
6ENY_17.pdb,177.93678,0.8828
6ENY_18.pdb,235.381,0.883
6ENY_19.pdb,112.26824,0.8829
6ENY_2.pdb,253.6179,0.8831
6ENY_20.pdb,156.51622,0.8839
6ENY_21.pdb,158.0616,0.8826
6ENY_22.pdb,53.90283,0.8838
6ENY_23.pdb,119.24631,0.8838
6ENY_24.pdb,82.71578,0.8824
6ENY_25.pdb,126.52399,0.8841
6ENY_26.pdb,176.61521,0.8824
6ENY_27.pdb,176.67206,0.8832
6ENY_28.pdb,133.1342,0.8812
6ENY_29.pdb,30.392,0.8815
6ENY_3.pdb,167.18838,0.8836
6ENY_30.pdb,255.6429,0.8822
6ENY_31.pdb,-1344.5828,0.8834
6ENY_32.pdb,222.0001,0.8834
6ENY_33.pdb,181.9643,0.8846
6ENY_34.pdb,178.19988,0.882
6ENY_35.pdb,231.5404,0.8395
6ENY_36.pdb,247.6251,0.8825
6ENY_37.pdb,198.7803,0.8835
6ENY_38.pdb,162.4152,0.8825
6ENY_39.pdb,190.96695,0.8836
6ENY_4.pdb,205.05743,0.8833
6ENY_40.pdb,138.83825,0.883
6ENY_41.pdb,196.44085,0.8838
6ENY_42.pdb,198.22928,0.8833
6ENY_43.pdb,179.90896,0.8824
6ENY_44.pdb,131.76078,0.8838
6ENY_45.pdb,-1246.58552,0.8821
6ENY_46.pdb,229.2799,0.882
6ENY_47.pdb,264.83352,0.8843
6ENY_48.pdb,222.8015,0.8811
6ENY_49.pdb,226.02799,0.8822
6ENY_5.pdb,133.17327,0.8812
6ENY_50.pdb,186.98326,0.8805
6ENY_6.pdb,203.49845,0.8835
6ENY_7.pdb,316.7798,0.8381
6ENY_8.pdb,144.95759,0.883
6ENY_9.pdb,143.79104,0.885
