structure,HADDOCK-score,atomic-clashes
5GRS_1.pdb,-4054.85447,7
5GRS_10.pdb,-4053.5415,5
5GRS_11.pdb,-3957.90343,7
5GRS_12.pdb,-4008.88521,2
5GRS_13.pdb,-4136.56789,8
5GRS_14.pdb,-3896.6777,8
5GRS_15.pdb,-4079.34979,3
5GRS_16.pdb,-4163.68236,7
5GRS_17.pdb,-3950.00371,7
5GRS_18.pdb,-3676.83134,2
5GRS_19.pdb,-3983.2418,7
5GRS_2.pdb,-3929.06015,6
5GRS_20.pdb,-3725.42974,7
5GRS_21.pdb,-4046.10691,4
5GRS_22.pdb,-3849.06335,8
5GRS_23.pdb,-3830.86609,8
5GRS_24.pdb,-4029.81821,8
5GRS_25.pdb,-3885.70456,6
5GRS_26.pdb,-3932.0442,7
5GRS_27.pdb,-3888.96534,5
5GRS_28.pdb,-4013.35249,7
5GRS_29.pdb,-3876.08879,8
5GRS_3.pdb,-3975.97713,7
5GRS_30.pdb,-3822.94838,5
5GRS_31.pdb,-3753.63618,5
5GRS_32.pdb,-3770.7154,5
5GRS_33.pdb,-3698.2521,7
5GRS_34.pdb,-4067.01746,5
5GRS_35.pdb,-3703.135,5
5GRS_36.pdb,-3752.85141,3
5GRS_37.pdb,-3968.21795,9
5GRS_38.pdb,-4162.69621,2
5GRS_39.pdb,-3717.7953,5
5GRS_4.pdb,-3763.8117,3
5GRS_40.pdb,-3805.8003,4
5GRS_41.pdb,-3955.94041,4
5GRS_42.pdb,-4102.63167,10
5GRS_43.pdb,-3699.44479,5
5GRS_44.pdb,-3858.9821,6
5GRS_45.pdb,-4024.63155,5
5GRS_46.pdb,-4385.95382,6
5GRS_47.pdb,-3957.47286,5
5GRS_48.pdb,-4006.01838,6
5GRS_49.pdb,-3672.3444,6
5GRS_5.pdb,-3846.02673,6
5GRS_50.pdb,-3830.31527,8
5GRS_6.pdb,-4154.43409,3
5GRS_7.pdb,-4055.92243,6
5GRS_8.pdb,-3854.79732,7
5GRS_9.pdb,-4250.6481,6
