structure,HADDOCK-score,atomic-clashes
6R7I_1.pdb,-3684.202,20
6R7I_10.pdb,-3781.789,25
6R7I_11.pdb,-3925.325,24
6R7I_12.pdb,-3679.057,19
6R7I_13.pdb,-3847.313,22
6R7I_14.pdb,-3591.845,19
6R7I_15.pdb,-3725.587,19
6R7I_16.pdb,-3787.133,17
6R7I_17.pdb,-3660.298,19
6R7I_18.pdb,-3738.972,20
6R7I_19.pdb,-3676.079,22
6R7I_2.pdb,-3794.162,21
6R7I_20.pdb,-3776.145,20
6R7I_21.pdb,-3748.604,20
6R7I_22.pdb,-3652.094,18
6R7I_23.pdb,-3760.344,17
6R7I_24.pdb,-3751.649,20
6R7I_25.pdb,-3871.717,18
6R7I_26.pdb,-3519.988,18
6R7I_27.pdb,-3639.478,18
6R7I_28.pdb,-3678.966,18
6R7I_29.pdb,-5189.382,6
6R7I_3.pdb,-3780.001,21
6R7I_30.pdb,-3697.18,20
6R7I_31.pdb,-3915.851,20
6R7I_32.pdb,-3718.064,21
6R7I_33.pdb,-3777.014,19
6R7I_34.pdb,-3555.042,18
6R7I_35.pdb,-3572.4,19
6R7I_36.pdb,-3753.472,21
6R7I_37.pdb,-3562.471,23
6R7I_38.pdb,-3882.208,21
6R7I_39.pdb,-3768.69,23
6R7I_4.pdb,-3970.267,20
6R7I_40.pdb,-3701.758,18
6R7I_41.pdb,-3803.555,20
6R7I_42.pdb,-3729.497,21
6R7I_43.pdb,-3846.124,20
6R7I_44.pdb,-3621.762,24
6R7I_45.pdb,-3710.877,20
6R7I_46.pdb,-3567.776,18
6R7I_47.pdb,-3720.681,21
6R7I_48.pdb,-3664.002,21
6R7I_49.pdb,-3833.623,21
6R7I_5.pdb,-3773.129,21
6R7I_50.pdb,-3728.997,19
6R7I_6.pdb,-3696.29,16
6R7I_7.pdb,-3745.361,21
6R7I_8.pdb,-5318.296,1
6R7I_9.pdb,-3721.533,21
