structure,HADDOCK-score,atomic-clashes
6N1Q_1.pdb,2703.6795,34
6N1Q_10.pdb,1107.7802,21
6N1Q_11.pdb,4665.4324,45
6N1Q_12.pdb,2639.5658,32
6N1Q_13.pdb,4449.3042,44
6N1Q_14.pdb,4292.2462,45
6N1Q_15.pdb,2705.1697,34
6N1Q_16.pdb,4202.116,43
6N1Q_17.pdb,1036.9528,22
6N1Q_18.pdb,2623.1335,33
6N1Q_19.pdb,1225.4713,24
6N1Q_2.pdb,2798.6949,32
6N1Q_20.pdb,4271.3605,44
6N1Q_21.pdb,4295.1868,42
6N1Q_22.pdb,838.2105,22
6N1Q_23.pdb,4314.8384,44
6N1Q_24.pdb,2928.8546,31
6N1Q_25.pdb,2617.2425,31
6N1Q_26.pdb,4268.6038,42
6N1Q_27.pdb,2669.5961,33
6N1Q_28.pdb,4234.353,42
6N1Q_29.pdb,4246.2439,46
6N1Q_3.pdb,2781.1434,36
6N1Q_30.pdb,2473.02,34
6N1Q_31.pdb,4428.0701,42
6N1Q_32.pdb,4283.5606,41
6N1Q_33.pdb,2885.8237,32
6N1Q_34.pdb,-640.0774,12
6N1Q_35.pdb,2521.289,33
6N1Q_36.pdb,4332.254,42
6N1Q_37.pdb,4440.7068,42
6N1Q_38.pdb,2518.0071,32
6N1Q_39.pdb,2681.929,31
6N1Q_4.pdb,2601.0893,34
6N1Q_40.pdb,4502.9847,44
6N1Q_41.pdb,1095.2845,22
6N1Q_42.pdb,4294.4185,43
6N1Q_43.pdb,3064.767,32
6N1Q_44.pdb,4465.5724,43
6N1Q_45.pdb,4461.0311,45
6N1Q_46.pdb,2766.9223,36
6N1Q_47.pdb,2666.7311,33
6N1Q_48.pdb,4399.3896,44
6N1Q_49.pdb,4254.3973,43
6N1Q_5.pdb,1007.8297,21
6N1Q_50.pdb,-801.5887,12
6N1Q_6.pdb,2716.656,32
6N1Q_7.pdb,871.28,23
6N1Q_8.pdb,4503.8567,44
6N1Q_9.pdb,2959.9811,33
