structure,HADDOCK-score,atomic-clashes
6N1Q_1.pdb,4491.6519,42
6N1Q_10.pdb,2808.0865,33
6N1Q_11.pdb,4502.6524,45
6N1Q_12.pdb,2660.8282,32
6N1Q_13.pdb,2747.324,32
6N1Q_14.pdb,4488.0858,44
6N1Q_15.pdb,2769.5369,33
6N1Q_16.pdb,4565.2191,45
6N1Q_17.pdb,2631.4286,33
6N1Q_18.pdb,2567.9096,34
6N1Q_19.pdb,2705.0951,34
6N1Q_2.pdb,4576.158,43
6N1Q_20.pdb,2862.1186,32
6N1Q_21.pdb,4493.8263,44
6N1Q_22.pdb,1496.0504,22
6N1Q_23.pdb,2791.2289,31
6N1Q_24.pdb,2997.2586,34
6N1Q_25.pdb,2650.2089,32
6N1Q_26.pdb,2679.9516,35
6N1Q_27.pdb,1142.4186,21
6N1Q_28.pdb,4429.7499,44
6N1Q_29.pdb,-764.7207,10
6N1Q_3.pdb,959.382,23
6N1Q_30.pdb,4261.4756,49
6N1Q_4.pdb,4447.6522,44
6N1Q_5.pdb,2756.1111,33
6N1Q_6.pdb,2512.1586,31
6N1Q_7.pdb,4508.3691,46
6N1Q_8.pdb,1107.253,23
6N1Q_9.pdb,4429.3286,45
