structure,HADDOCK-score,correlation,atomic-clashes
6C3P_10w.pdb,-1979.0328,0.5275,1
6C3P_11w.pdb,-2060.6182,0.5339,1
6C3P_12w.pdb,-1903.89274,0.52,2
6C3P_13w.pdb,-1951.83048,0.533,2
6C3P_14w.pdb,-1841.6758,0.5174,0
6C3P_15w.pdb,-1920.9995,0.54,1
6C3P_16w.pdb,-1932.44757,0.5105,1
6C3P_17w.pdb,-1899.1117,0.5169,1
6C3P_18w.pdb,-2002.0811,0.5325,2
6C3P_19w.pdb,-1992.3867,0.528,0
6C3P_1w.pdb,-2059.5623,0.5264,1
6C3P_20w.pdb,-2063.6329,0.5308,0
6C3P_21w.pdb,-1915.7574,0.5179,0
6C3P_22w.pdb,-1888.8101,0.5166,1
6C3P_23w.pdb,-2027.2231,0.5302,1
6C3P_24w.pdb,-2113.9419,0.5357,1
6C3P_25w.pdb,-2130.479,0.5265,1
6C3P_26w.pdb,-1966.8512,0.5342,1
6C3P_27w.pdb,-1762.1752,0.5148,1
6C3P_28w.pdb,-1834.8049,0.5287,1
6C3P_29w.pdb,-1967.8791,0.5302,0
6C3P_2w.pdb,-2021.0409,0.5292,3
6C3P_30w.pdb,-2076.8483,0.5374,1
6C3P_31w.pdb,-2002.4559,0.5337,0
6C3P_32w.pdb,-1901.1048,0.5174,0
6C3P_33w.pdb,-1877.3361,0.5177,0
6C3P_34w.pdb,-2144.602,0.5357,2
6C3P_35w.pdb,-2082.0244,0.5351,0
6C3P_36w.pdb,-2038.8965,0.5222,0
6C3P_37w.pdb,-2080.0472,0.5332,0
6C3P_38w.pdb,-2015.66225,0.5363,1
6C3P_39w.pdb,-2072.7735,0.5322,0
6C3P_3w.pdb,-2139.7678,0.5334,0
6C3P_40w.pdb,-2028.9523,0.5359,2
6C3P_41w.pdb,-2094.5026,0.5281,2
6C3P_42w.pdb,-2090.1914,0.5343,0
6C3P_43w.pdb,-2078.7833,0.5352,1
6C3P_44w.pdb,-1858.1154,0.523,0
6C3P_45w.pdb,-2040.2701,0.5304,0
6C3P_46w.pdb,-1899.8741,0.5276,2
6C3P_47w.pdb,-2046.4116,0.5408,1
6C3P_48w.pdb,-2022.3225,0.5311,0
6C3P_49w.pdb,-2025.9866,0.529,2
6C3P_4w.pdb,-1794.3538,0.5147,2
6C3P_50w.pdb,-2063.9193,0.5245,2
6C3P_5w.pdb,-2091.0109,0.5289,1
6C3P_6w.pdb,-2217.4903,0.5309,0
6C3P_7w.pdb,-2022.328,0.5371,1
6C3P_8w.pdb,-1938.2216,0.5332,1
6C3P_9w.pdb,-1989.9809,0.5232,0
