structure,HADDOCK-score,correlation
6ENY_1.pdb,-1411.47551,0.8877
6ENY_10.pdb,-1403.45888,0.8859
6ENY_11.pdb,-1460.16507,0.8866
6ENY_12.pdb,-1421.03286,0.8845
6ENY_13.pdb,-1483.38334,0.8868
6ENY_14.pdb,-1440.91703,0.8856
6ENY_15.pdb,-1408.97798,0.8858
6ENY_16.pdb,-1412.46301,0.886
6ENY_17.pdb,-1431.27462,0.8851
6ENY_18.pdb,-1500.32716,0.8852
6ENY_19.pdb,-1347.08577,0.8859
6ENY_2.pdb,-1494.57866,0.885
6ENY_20.pdb,-1529.26062,0.8854
6ENY_21.pdb,-1355.89596,0.8855
6ENY_22.pdb,-1537.13775,0.8854
6ENY_23.pdb,-1381.77553,0.8873
6ENY_24.pdb,-1364.63777,0.8856
6ENY_25.pdb,-1542.91298,0.8868
6ENY_26.pdb,-1373.66091,0.8865
6ENY_27.pdb,-1405.20041,0.8846
6ENY_28.pdb,-1401.84843,0.8857
6ENY_29.pdb,-1530.79063,0.886
6ENY_3.pdb,-1476.4249,0.8852
6ENY_30.pdb,-1550.22839,0.8844
6ENY_31.pdb,-1419.25098,0.8851
6ENY_32.pdb,-1444.86815,0.8851
6ENY_33.pdb,-1463.09684,0.8841
6ENY_34.pdb,-1442.04332,0.8844
6ENY_35.pdb,-1426.96968,0.8853
6ENY_36.pdb,-1441.9066,0.8837
6ENY_37.pdb,-1481.10768,0.8858
6ENY_38.pdb,-1547.8747,0.8858
6ENY_39.pdb,-1601.29331,0.8865
6ENY_4.pdb,-1466.01361,0.8856
6ENY_40.pdb,-1396.00258,0.8848
6ENY_41.pdb,-1428.17372,0.8855
6ENY_42.pdb,-1463.1727,0.885
6ENY_43.pdb,-1318.69362,0.8854
6ENY_44.pdb,-1447.8274,0.8844
6ENY_45.pdb,-1441.78801,0.8842
6ENY_46.pdb,-1380.8136,0.8861
6ENY_47.pdb,-1422.03282,0.8863
6ENY_48.pdb,-1344.41195,0.8851
6ENY_49.pdb,-1378.87335,0.8848
6ENY_5.pdb,-1416.45775,0.8853
6ENY_50.pdb,-1404.35876,0.8859
6ENY_6.pdb,-1365.85811,0.8863
6ENY_7.pdb,-1325.40235,0.8852
6ENY_8.pdb,-1392.26479,0.886
6ENY_9.pdb,-1520.73203,0.8832
