structure,HADDOCK-score,correlation,atomic-clashes
6C3P_10w.pdb,-2088.5708,0.5351,0
6C3P_11w.pdb,-2201.9448,0.539,0
6C3P_12w.pdb,-2185.6958,0.5422,2
6C3P_13w.pdb,-2207.662,0.5364,2
6C3P_14w.pdb,-2222.863,0.5396,1
6C3P_15w.pdb,-2223.7503,0.5373,0
6C3P_16w.pdb,-2178.82767,0.5333,0
6C3P_17w.pdb,-2153.6363,0.5377,2
6C3P_18w.pdb,-2125.8169,0.5391,0
6C3P_19w.pdb,-2200.1836,0.5287,1
6C3P_1w.pdb,-2167.5761,0.5372,1
6C3P_20w.pdb,-2050.3734,0.5411,1
6C3P_21w.pdb,-2152.0542,0.5366,2
6C3P_22w.pdb,-2279.0996,0.5375,0
6C3P_23w.pdb,-2201.8797,0.5363,1
6C3P_24w.pdb,-2111.0563,0.5344,0
6C3P_25w.pdb,-2193.1006,0.5314,0
6C3P_26w.pdb,-2086.36389,0.5345,1
6C3P_27w.pdb,-2156.0481,0.5411,0
6C3P_28w.pdb,-2113.9188,0.5401,3
6C3P_29w.pdb,-2185.6958,0.5422,2
6C3P_2w.pdb,-2236.9097,0.5322,3
6C3P_30w.pdb,-2211.4538,0.5404,1
6C3P_31w.pdb,-2213.63362,0.5384,0
6C3P_32w.pdb,-2233.5073,0.5333,0
6C3P_33w.pdb,-2264.3942,0.5402,0
6C3P_34w.pdb,-2124.4961,0.5383,0
6C3P_35w.pdb,-2150.6343,0.5397,0
6C3P_36w.pdb,-2092.3972,0.5367,1
6C3P_37w.pdb,-2185.6958,0.5422,2
6C3P_38w.pdb,-2091.4092,0.5425,0
6C3P_39w.pdb,-2168.6019,0.5401,1
6C3P_3w.pdb,-2158.0853,0.5358,3
6C3P_40w.pdb,-2185.6958,0.5422,2
6C3P_41w.pdb,-2185.6958,0.5422,2
6C3P_42w.pdb,-2218.0285,0.5335,0
6C3P_43w.pdb,-2183.4136,0.5403,0
6C3P_44w.pdb,-2185.6958,0.5422,2
6C3P_45w.pdb,-2222.937,0.5358,0
6C3P_46w.pdb,-2127.91675,0.5421,0
6C3P_47w.pdb,-2222.1971,0.5335,0
6C3P_48w.pdb,-2185.6958,0.5422,2
6C3P_49w.pdb,-2162.935,0.5356,3
6C3P_4w.pdb,-2263.7092,0.5376,0
6C3P_50w.pdb,-2158.7127,0.5393,2
6C3P_5w.pdb,-2201.3112,0.5343,0
6C3P_6w.pdb,-2214.09754,0.5356,0
6C3P_7w.pdb,-2103.3525,0.5393,1
6C3P_8w.pdb,-2106.5727,0.5341,1
6C3P_9w.pdb,-2202.5094,0.5373,1
