structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-2275.884645,0.891,0
5GRS_11w.pdb,-2150.89851,0.8906,0
5GRS_12w.pdb,-2089.98057,0.891,1
5GRS_13w.pdb,-2211.7086,0.8939,1
5GRS_14w.pdb,-2153.84933,0.893,3
5GRS_15w.pdb,-2254.311587,0.8929,1
5GRS_16w.pdb,-2168.59651,0.8949,0
5GRS_17w.pdb,-2193.200726,0.8931,0
5GRS_18w.pdb,-2122.04795,0.8912,0
5GRS_19w.pdb,-2061.61095,0.893,0
5GRS_1w.pdb,-2221.87282,0.8916,0
5GRS_20w.pdb,-2278.683161,0.8898,0
5GRS_21w.pdb,-2197.468001,0.8921,0
5GRS_22w.pdb,-2102.583939,0.8913,0
5GRS_23w.pdb,-2205.709209,0.8914,0
5GRS_24w.pdb,-2274.729982,0.8934,0
5GRS_25w.pdb,-2105.83301,0.8911,1
5GRS_26w.pdb,-2140.951,0.8923,0
5GRS_27w.pdb,-2169.920314,0.8939,1
5GRS_28w.pdb,-2202.176772,0.8925,0
5GRS_29w.pdb,-1952.1424,0.8911,0
5GRS_2w.pdb,-2116.646805,0.8906,0
5GRS_30w.pdb,-2226.53176,0.8935,2
5GRS_31w.pdb,-2082.136609,0.8895,0
5GRS_32w.pdb,-2278.02934,0.8946,0
5GRS_33w.pdb,-2135.942404,0.8928,0
5GRS_34w.pdb,-2023.707931,0.8911,0
5GRS_35w.pdb,-2244.98283,0.8918,0
5GRS_36w.pdb,-2238.45329,0.8934,0
5GRS_37w.pdb,-2116.62152,0.8933,0
5GRS_38w.pdb,-2136.25458,0.8941,1
5GRS_39w.pdb,-2107.08218,0.891,1
5GRS_3w.pdb,-2211.578835,0.8926,0
5GRS_40w.pdb,-2254.966205,0.8927,0
5GRS_41w.pdb,-2221.1185,0.8922,0
5GRS_42w.pdb,-2108.00274,0.8929,0
5GRS_43w.pdb,-2142.97462,0.8895,0
5GRS_44w.pdb,-2090.48768,0.8907,0
5GRS_45w.pdb,-2276.82982,0.8943,0
5GRS_46w.pdb,-2236.866087,0.8934,0
5GRS_47w.pdb,-2230.2373,0.8944,0
5GRS_48w.pdb,-2070.83085,0.8921,0
5GRS_49w.pdb,-2158.500825,0.8926,0
5GRS_4w.pdb,-2234.868378,0.8915,0
5GRS_50w.pdb,-2086.130483,0.8926,0
5GRS_5w.pdb,-2179.143597,0.8929,1
5GRS_6w.pdb,-2060.97845,0.8916,2
5GRS_7w.pdb,-2144.081864,0.8941,0
5GRS_8w.pdb,-2269.349316,0.8908,0
5GRS_9w.pdb,-2088.097444,0.8926,1
