structure,HADDOCK-score,correlation
6UC0_1.pdb,-2688.3598,0.9291
6UC0_10.pdb,-2845.4605,0.9275
6UC0_11.pdb,-2661.6644,0.9278
6UC0_12.pdb,-2805.3247,0.9266
6UC0_13.pdb,-2902.8201,0.9288
6UC0_14.pdb,-2898.6584,0.9281
6UC0_15.pdb,-2730.6035,0.9283
6UC0_16.pdb,-2810.8833,0.9294
6UC0_17.pdb,-2749.8917,0.9276
6UC0_18.pdb,-2846.2786,0.9287
6UC0_19.pdb,-2621.0941,0.9277
6UC0_2.pdb,-2852.8272,0.9286
6UC0_20.pdb,-2792.1367,0.9262
6UC0_21.pdb,-2798.9298,0.9295
6UC0_22.pdb,-2806.0863,0.9266
6UC0_23.pdb,-2413.0773,0.9264
6UC0_24.pdb,-2772.4058,0.9292
6UC0_25.pdb,-2695.6187,0.9286
6UC0_26.pdb,-2606.9348,0.927
6UC0_27.pdb,-2941.6512,0.9304
6UC0_28.pdb,-2786.7085,0.9284
6UC0_29.pdb,-2763.6154,0.9284
6UC0_3.pdb,-2659.1539,0.9288
6UC0_30.pdb,-2833.8512,0.9275
6UC0_31.pdb,-2923.1552,0.9285
6UC0_32.pdb,-2887.6082,0.9259
6UC0_33.pdb,-2711.0589,0.9291
6UC0_34.pdb,-2537.7758,0.9255
6UC0_35.pdb,-2820.0494,0.9293
6UC0_36.pdb,-2802.8552,0.9251
6UC0_37.pdb,-2844.5302,0.93
6UC0_38.pdb,-2689.7746,0.9265
6UC0_39.pdb,-2919.7499,0.9296
6UC0_4.pdb,-2626.3867,0.9288
6UC0_40.pdb,-2728.1507,0.9281
6UC0_41.pdb,-2854.1543,0.9263
6UC0_42.pdb,-2837.8892,0.9261
6UC0_43.pdb,-2756.0685,0.926
6UC0_44.pdb,-2669.7306,0.9284
6UC0_45.pdb,-2757.1868,0.9289
6UC0_46.pdb,-2783.4532,0.929
6UC0_47.pdb,-2699.3118,0.9261
6UC0_48.pdb,-2753.1121,0.9278
6UC0_49.pdb,-2439.8496,0.9254
6UC0_5.pdb,-2917.0771,0.9288
6UC0_50.pdb,-2838.0701,0.9296
6UC0_6.pdb,-2867.2374,0.9287
6UC0_7.pdb,-2807.6359,0.9291
6UC0_8.pdb,-2733.2972,0.9287
6UC0_9.pdb,-2845.9101,0.9281
