structure,HADDOCK-score,correlation
6AHF_1.pdb,-1528.4458,0.8931
6AHF_10.pdb,-2259.2766,0.8758
6AHF_11.pdb,-2274.4306,0.8829
6AHF_12.pdb,-2146.9813,0.8777
6AHF_13.pdb,-2230.789,0.8728
6AHF_14.pdb,-2089.3419,0.8682
6AHF_15.pdb,-2309.1382,0.8637
6AHF_16.pdb,-2205.2764,0.8794
6AHF_17.pdb,-2186.4535,0.8793
6AHF_18.pdb,-2386.5339,0.8706
6AHF_19.pdb,-2236.2906,0.8837
6AHF_2.pdb,-2391.8571,0.8835
6AHF_20.pdb,-2432.3918,0.8758
6AHF_21.pdb,-2146.0162,0.872
6AHF_22.pdb,-2448.6961,0.8863
6AHF_23.pdb,-2435.576,0.8831
6AHF_24.pdb,-2453.5233,0.8701
6AHF_25.pdb,-2605.6467,0.8722
6AHF_26.pdb,-2321.4962,0.8767
6AHF_27.pdb,-2607.6034,0.8834
6AHF_28.pdb,-2349.4167,0.8757
6AHF_29.pdb,-2422.6453,0.8862
6AHF_3.pdb,-2228.8616,0.8624
6AHF_30.pdb,-2410.1221,0.8731
6AHF_31.pdb,-2186.1468,0.885
6AHF_32.pdb,-2501.3463,0.8799
6AHF_33.pdb,-2136.334,0.8531
6AHF_34.pdb,-2488.3856,0.8845
6AHF_35.pdb,-2188.1838,0.8695
6AHF_36.pdb,-2264.4104,0.8776
6AHF_37.pdb,-2309.3968,0.8758
6AHF_38.pdb,-2512.9275,0.887
6AHF_39.pdb,-2255.8172,0.8794
6AHF_4.pdb,-2404.9052,0.8799
6AHF_40.pdb,-2231.5404,0.8818
6AHF_41.pdb,-1528.4458,0.8931
6AHF_42.pdb,-2350.0954,0.8791
6AHF_43.pdb,-2143.0849,0.8714
6AHF_44.pdb,-2232.5373,0.878
6AHF_45.pdb,-2428.3175,0.8747
6AHF_46.pdb,-2094.4152,0.8832
6AHF_47.pdb,-2287.2294,0.8741
6AHF_48.pdb,-2431.5132,0.8698
6AHF_49.pdb,-2263.996,0.876
6AHF_5.pdb,-2334.0186,0.8777
6AHF_50.pdb,-2447.7549,0.8834
6AHF_6.pdb,-2406.5543,0.8743
6AHF_7.pdb,-2742.6934,0.8804
6AHF_8.pdb,-2278.9713,0.8746
6AHF_9.pdb,-1865.8698,0.8702
