structure,HADDOCK-score,correlation
3J95_1.pdb,-2783.4811,0.9317
3J95_10.pdb,-2845.1817,0.9335
3J95_11.pdb,-2807.8706,0.9326
3J95_12.pdb,-2943.6821,0.9332
3J95_13.pdb,-2862.0016,0.9312
3J95_14.pdb,-2958.7782,0.9336
3J95_15.pdb,-3014.7298,0.933
3J95_16.pdb,-2909.7788,0.9326
3J95_17.pdb,-2809.2406,0.9316
3J95_18.pdb,-2936.793,0.9329
3J95_19.pdb,-3007.3366,0.9341
3J95_2.pdb,-2830.6243,0.9326
3J95_20.pdb,-2912.6507,0.9329
3J95_21.pdb,-2854.81014,0.9323
3J95_22.pdb,-2874.3353,0.9317
3J95_23.pdb,-2595.797,0.9315
3J95_24.pdb,-2918.0097,0.9323
3J95_25.pdb,-2744.053,0.932
3J95_26.pdb,-2971.7308,0.933
3J95_27.pdb,-2982.5131,0.9335
3J95_28.pdb,-3030.085,0.9331
3J95_29.pdb,-2638.4444,0.9326
3J95_3.pdb,-2969.7376,0.9331
3J95_30.pdb,-2792.5705,0.9331
3J95_31.pdb,-2718.8901,0.9326
3J95_32.pdb,-2946.9139,0.9329
3J95_33.pdb,-2706.0555,0.9327
3J95_34.pdb,-2740.071,0.932
3J95_35.pdb,-2940.472,0.9329
3J95_36.pdb,-2918.8074,0.9332
3J95_37.pdb,-2862.6929,0.9328
3J95_38.pdb,-2668.3135,0.9315
3J95_39.pdb,-2873.3,0.9331
3J95_4.pdb,-2832.0743,0.9292
3J95_40.pdb,-2814.2267,0.9318
3J95_41.pdb,-2763.9664,0.9326
3J95_42.pdb,-2926.277,0.9327
3J95_43.pdb,-3043.0782,0.9331
3J95_44.pdb,-2893.1033,0.9317
3J95_45.pdb,-2765.7567,0.932
3J95_46.pdb,-2985.3029,0.9337
3J95_47.pdb,-2926.3836,0.9319
3J95_48.pdb,-3081.2276,0.9315
3J95_49.pdb,-3093.9698,0.9341
3J95_5.pdb,-1166.011,0.9252
3J95_50.pdb,-2745.6734,0.9323
3J95_6.pdb,-2932.3571,0.9338
3J95_7.pdb,-2807.7313,0.9315
3J95_8.pdb,-2874.0884,0.9332
3J95_9.pdb,-2944.99972,0.9327
