structure,HADDOCK-score,atomic-clashes
6R7I_1.pdb,-2673.957,14
6R7I_10.pdb,-2842.309,13
6R7I_11.pdb,-4436.825,1
6R7I_12.pdb,-2547.302,13
6R7I_13.pdb,-2763.214,14
6R7I_14.pdb,-4211.884,1
6R7I_15.pdb,-2706.25,16
6R7I_16.pdb,-2754.851,14
6R7I_17.pdb,-2659.165,15
6R7I_18.pdb,-2714.145,17
6R7I_19.pdb,-2688.375,17
6R7I_2.pdb,-2575.453,14
6R7I_20.pdb,-3110.183,14
6R7I_21.pdb,-2607.107,13
6R7I_22.pdb,-2841.849,15
6R7I_23.pdb,-2668.931,13
6R7I_24.pdb,-4051.987,2
6R7I_25.pdb,-2592.166,15
6R7I_26.pdb,-2809.362,13
6R7I_27.pdb,-2660.371,15
6R7I_28.pdb,-2851.747,14
6R7I_29.pdb,-2666.356,14
6R7I_3.pdb,-2750.442,14
6R7I_30.pdb,-2769.004,13
6R7I_31.pdb,-2583.479,15
6R7I_32.pdb,-2654.518,17
6R7I_33.pdb,-2733.701,15
6R7I_34.pdb,-2831.124,16
6R7I_35.pdb,-2661.004,13
6R7I_36.pdb,-2838.613,13
6R7I_37.pdb,-2948.149,15
6R7I_38.pdb,-2799.537,15
6R7I_39.pdb,-2940.479,14
6R7I_4.pdb,-2992.143,16
6R7I_40.pdb,-2554.436,15
6R7I_41.pdb,-2749.486,15
6R7I_42.pdb,-2831.292,17
6R7I_43.pdb,-2670.19,16
6R7I_44.pdb,-2822.832,14
6R7I_45.pdb,-2478.095,14
6R7I_46.pdb,3434.369,13
6R7I_47.pdb,-4514.268,4
6R7I_48.pdb,-2493.56,15
6R7I_49.pdb,-2769.151,14
6R7I_5.pdb,-2736.356,16
6R7I_50.pdb,-2899.819,14
6R7I_6.pdb,-2763.98,14
6R7I_7.pdb,-2848.3,15
6R7I_8.pdb,-2653.11,12
6R7I_9.pdb,-2854.537,19
