structure,HADDOCK-score,correlation,atomic-clashes
6N1Q_10w.pdb,6024.569,0.886,44
6N1Q_11w.pdb,5713.1037,0.8853,44
6N1Q_12w.pdb,4067.9678,0.8822,33
6N1Q_13w.pdb,4098.7196,0.8862,33
6N1Q_14w.pdb,5711.523,0.8937,44
6N1Q_15w.pdb,5799.129,0.8898,45
6N1Q_16w.pdb,5797.5941,0.8913,45
6N1Q_17w.pdb,5923.8296,0.8849,44
6N1Q_18w.pdb,5744.4151,0.9039,44
6N1Q_19w.pdb,4051.7357,0.8958,32
6N1Q_1w.pdb,4123.3692,0.8853,34
6N1Q_20w.pdb,5783.4024,0.8942,43
6N1Q_21w.pdb,5746.1927,0.8899,44
6N1Q_22w.pdb,2256.9755,0.8859,22
6N1Q_23w.pdb,5741.5463,0.8874,44
6N1Q_24w.pdb,6036.0398,0.8869,44
6N1Q_25w.pdb,2513.646,0.8894,22
6N1Q_26w.pdb,2450.4395,0.8896,24
6N1Q_27w.pdb,2449.1616,0.8889,22
6N1Q_28w.pdb,5744.4151,0.9039,44
6N1Q_29w.pdb,4112.2813,0.89,35
6N1Q_2w.pdb,5801.3799,0.8865,43
6N1Q_30w.pdb,5744.4151,0.9039,44
6N1Q_31w.pdb,4150.4708,0.8871,34
6N1Q_32w.pdb,5744.4151,0.9039,44
6N1Q_33w.pdb,5692.0253,0.892,44
6N1Q_34w.pdb,5888.1241,0.8846,44
6N1Q_35w.pdb,4140.5648,0.8895,34
6N1Q_36w.pdb,5744.4151,0.9039,44
6N1Q_37w.pdb,5747.6593,0.8879,46
6N1Q_38w.pdb,5796.2227,0.8866,45
6N1Q_39w.pdb,4282.1535,0.8841,33
6N1Q_3w.pdb,4148.9562,0.8888,33
6N1Q_40w.pdb,5583.4233,0.8869,44
6N1Q_41w.pdb,5744.4151,0.9039,44
6N1Q_42w.pdb,2409.8792,0.8898,23
6N1Q_43w.pdb,5854.8979,0.8846,44
6N1Q_44w.pdb,5664.1883,0.8894,44
6N1Q_45w.pdb,4269.8825,0.8879,33
6N1Q_46w.pdb,5838.3245,0.895,44
6N1Q_47w.pdb,5994.6813,0.8854,43
6N1Q_48w.pdb,5928.2737,0.8889,44
6N1Q_49w.pdb,5793.9994,0.8915,44
6N1Q_4w.pdb,5832.2769,0.8909,42
6N1Q_50w.pdb,5744.4151,0.9039,44
6N1Q_5w.pdb,5841.1713,0.8912,44
6N1Q_6w.pdb,4148.6059,0.887,34
6N1Q_7w.pdb,5927.0104,0.8841,45
6N1Q_8w.pdb,5771.8556,0.8871,43
6N1Q_9w.pdb,5903.6676,0.8814,43
