structure,HADDOCK-score,correlation,atomic-clashes
5HNY_10w.pdb,-368.143649,0.9355,1
5HNY_11w.pdb,-374.358168,0.9363,0
5HNY_12w.pdb,-378.382198,0.9351,0
5HNY_13w.pdb,-387.875414,0.9349,0
5HNY_14w.pdb,-364.084599,0.9348,0
5HNY_15w.pdb,-338.86243,0.9345,0
5HNY_16w.pdb,-369.921806,0.9348,0
5HNY_17w.pdb,-372.341574,0.935,0
5HNY_18w.pdb,-176.084802,0.9306,0
5HNY_19w.pdb,-307.76341,0.9328,1
5HNY_1w.pdb,-367.736011,0.9343,0
5HNY_20w.pdb,-352.87345735,0.9342,0
5HNY_21w.pdb,-346.29988,0.9345,1
5HNY_22w.pdb,-380.588405,0.9355,0
5HNY_23w.pdb,-372.534247,0.9337,0
5HNY_24w.pdb,-343.95481,0.9336,0
5HNY_25w.pdb,-348.816946,0.9338,0
5HNY_26w.pdb,-405.312063,0.9352,0
5HNY_27w.pdb,-284.771991,0.9293,0
5HNY_28w.pdb,-365.4254,0.9356,0
5HNY_29w.pdb,-378.87846,0.9355,0
5HNY_2w.pdb,-357.70915,0.9347,0
5HNY_30w.pdb,-358.551032,0.9354,0
5HNY_31w.pdb,-333.083521,0.9351,0
5HNY_32w.pdb,-322.389259,0.9338,0
5HNY_33w.pdb,-357.337099,0.9353,0
5HNY_34w.pdb,-354.172357,0.9331,0
5HNY_35w.pdb,-385.849733,0.9358,0
5HNY_36w.pdb,-352.632123,0.9346,0
5HNY_37w.pdb,-345.283737,0.9349,0
5HNY_38w.pdb,1251.60275,0.9248,0
5HNY_39w.pdb,-357.923678,0.9341,0
5HNY_3w.pdb,-363.663765,0.9348,0
5HNY_40w.pdb,-367.265053,0.9334,0
5HNY_41w.pdb,-354.62707,0.934,0
5HNY_42w.pdb,-387.74535,0.9361,0
5HNY_43w.pdb,-339.416941,0.9358,0
5HNY_44w.pdb,-278.653469,0.9311,0
5HNY_45w.pdb,-306.48118854,0.9325,0
5HNY_46w.pdb,-404.923489,0.9355,0
5HNY_47w.pdb,-374.069342,0.9353,0
5HNY_48w.pdb,-367.771545,0.9336,0
5HNY_49w.pdb,-351.954133,0.9353,0
5HNY_4w.pdb,-371.508004,0.9364,0
5HNY_50w.pdb,-176.084802,0.9306,0
5HNY_5w.pdb,-394.042213,0.9366,1
5HNY_6w.pdb,-335.159671,0.9346,0
5HNY_7w.pdb,-359.62527,0.9351,0
5HNY_8w.pdb,-348.23851,0.9338,0
5HNY_9w.pdb,-380.486202,0.9354,0
