structure,HADDOCK-score,Helix,Sheet,unordered
6N8Z_48w.pdb,-2309.8678,49.4,8.4,42.1
6N8Z_39w.pdb,-2180.6128,49.0,8.2,42.8
6N8Z_22w.pdb,-2178.5465,49.5,8.4,42.1
6N8Z_33w.pdb,-2138.3107,49.3,8.0,42.7
