structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-1701.26,0.7863,1
5GRS_11w.pdb,-1761.1643,0.7874,0
5GRS_12w.pdb,-1614.6368,0.7881,1
5GRS_13w.pdb,-1700.0381,0.7876,0
5GRS_14w.pdb,-1604.845,0.7841,0
5GRS_15w.pdb,-1693.2062,0.7863,0
5GRS_16w.pdb,-1615.4992,0.7866,0
5GRS_17w.pdb,-1764.68352,0.7874,1
5GRS_18w.pdb,-1690.5805,0.7861,1
5GRS_19w.pdb,-1738.6542,0.7885,0
5GRS_1w.pdb,-1654.4945,0.785,0
5GRS_20w.pdb,-1771.6151,0.7852,0
5GRS_21w.pdb,-1688.9101,0.7863,0
5GRS_22w.pdb,-1695.4822,0.7863,0
5GRS_23w.pdb,-1692.7537,0.7854,0
5GRS_24w.pdb,-1639.0625,0.7861,1
5GRS_25w.pdb,-1666.3753,0.7835,0
5GRS_26w.pdb,-1684.777,0.7857,0
5GRS_27w.pdb,-1687.9267,0.7857,0
5GRS_28w.pdb,-1603.1388,0.785,0
5GRS_29w.pdb,-1700.5502,0.7856,0
5GRS_2w.pdb,-1680.0191,0.785,1
5GRS_30w.pdb,-1653.4663,0.7849,0
5GRS_31w.pdb,-1591.0489,0.7742,0
5GRS_32w.pdb,-1760.0989,0.7865,0
5GRS_33w.pdb,-1663.7572,0.7865,0
5GRS_34w.pdb,-1663.3912,0.784,0
5GRS_35w.pdb,-1670.4105,0.7769,0
5GRS_36w.pdb,-1681.7743,0.7865,0
5GRS_37w.pdb,-1629.9663,0.7824,0
5GRS_38w.pdb,-1751.1708,0.7874,0
5GRS_39w.pdb,-1662.9877,0.7843,0
5GRS_3w.pdb,-1747.3163,0.7874,0
5GRS_40w.pdb,-1634.6285,0.7844,1
5GRS_41w.pdb,-1706.756,0.7852,0
5GRS_42w.pdb,-1671.6213,0.7876,0
5GRS_43w.pdb,-1737.1847,0.7817,0
5GRS_44w.pdb,-1754.3979,0.7863,1
5GRS_45w.pdb,-1715.7171,0.7831,1
5GRS_46w.pdb,-1664.4507,0.7879,0
5GRS_47w.pdb,-1706.8109,0.7887,0
5GRS_48w.pdb,-1714.0468,0.7862,0
5GRS_49w.pdb,-1765.5135,0.7871,0
5GRS_4w.pdb,-1514.2784,0.7862,1
5GRS_50w.pdb,-1661.5754,0.7878,0
5GRS_5w.pdb,-1632.98174,0.786,0
5GRS_6w.pdb,-1645.9791,0.785,0
5GRS_7w.pdb,-1703.0095,0.7834,0
5GRS_8w.pdb,-1648.1034,0.7888,0
5GRS_9w.pdb,-1646.775,0.7858,0
