structure,HADDOCK-score,correlation
6C06_1.pdb,-2603.7421,0.8892
6C06_10.pdb,-4193.4599,0.888
6C06_11.pdb,-4879.598,0.8865
6C06_12.pdb,-4147.349,0.8861
6C06_13.pdb,-4253.7529,0.8897
6C06_14.pdb,-2603.7421,0.8892
6C06_15.pdb,-3898.2513,0.8864
6C06_16.pdb,-3691.8585,0.8859
6C06_17.pdb,-3917.2141,0.8853
6C06_18.pdb,-4049.965,0.8872
6C06_19.pdb,-3808.2608,0.8843
6C06_2.pdb,-4203.2207,0.8918
6C06_20.pdb,-4322.841,0.8867
6C06_21.pdb,-3932.423,0.889
6C06_22.pdb,-4192.7205,0.8925
6C06_23.pdb,-3887.9533,0.8877
6C06_24.pdb,-3903.342,0.8884
6C06_25.pdb,-4083.4879,0.886
6C06_26.pdb,-4193.5288,0.8889
6C06_27.pdb,-3821.9669,0.8821
6C06_28.pdb,-2603.7421,0.8892
6C06_29.pdb,-4198.7285,0.8887
6C06_3.pdb,-4167.8748,0.8908
6C06_30.pdb,-4098.2874,0.8929
6C06_31.pdb,-2603.7421,0.8892
6C06_32.pdb,-3819.0149,0.8843
6C06_33.pdb,-3824.2583,0.8871
6C06_34.pdb,-4119.2629,0.8877
6C06_35.pdb,-4281.577,0.8932
6C06_36.pdb,-2603.7421,0.8892
6C06_37.pdb,-4264.6981,0.8908
6C06_38.pdb,-3966.6236,0.8862
6C06_39.pdb,-3999.4876,0.8872
6C06_4.pdb,-3685.0652,0.8839
6C06_40.pdb,-3739.4416,0.8833
6C06_41.pdb,-3846.6269,0.8847
6C06_42.pdb,-2603.7421,0.8892
6C06_43.pdb,-2603.7421,0.8892
6C06_44.pdb,-4054.739,0.8872
6C06_45.pdb,-4465.4874,0.8922
6C06_46.pdb,-3890.6779,0.8882
6C06_47.pdb,-4240.6314,0.8945
6C06_48.pdb,-3999.7002,0.8936
6C06_49.pdb,-3535.5285,0.8857
6C06_5.pdb,-4013.8724,0.8872
6C06_50.pdb,-4096.3904,0.8868
6C06_6.pdb,-3830.9547,0.8894
6C06_7.pdb,-3502.5729,0.882
6C06_8.pdb,-2603.7421,0.8892
6C06_9.pdb,-4367.8969,0.8905
