structure,HADDOCK-score,atomic-clashes
6C3P_10.pdb,-3520.3543,3
6C3P_11.pdb,-3375.1833,3
6C3P_12.pdb,-3615.3688,4
6C3P_13.pdb,-3111.4352,3
6C3P_14.pdb,-3448.3549,9
6C3P_15.pdb,-3321.6731,5
6C3P_16.pdb,-3739.3258,3
6C3P_17.pdb,-3503.0326,3
6C3P_18.pdb,-3524.4971,4
6C3P_19.pdb,-3607.0631,5
6C3P_1.pdb,-3508.6663,5
6C3P_20.pdb,-3552.198,4
6C3P_21.pdb,-3299.2346,2
6C3P_22.pdb,-3199.1094,3
6C3P_23.pdb,-3111.4352,3
6C3P_24.pdb,-3395.9104,2
6C3P_25.pdb,-3575.2039,4
6C3P_26.pdb,-3403.3234,4
6C3P_27.pdb,-3589.5672,5
6C3P_28.pdb,-3660.3707,9
6C3P_29.pdb,-3199.1401,5
6C3P_2.pdb,-3668.424,8
6C3P_30.pdb,-3749.3499,4
6C3P_31.pdb,-3111.4352,3
6C3P_32.pdb,-3460.506,6
6C3P_33.pdb,-3840.5193,6
6C3P_34.pdb,-3714.5713,6
6C3P_35.pdb,-3620.258,5
6C3P_36.pdb,-3831.4557,7
6C3P_37.pdb,-3753.0595,7
6C3P_38.pdb,-3609.1204,8
6C3P_39.pdb,-3493.1358,6
6C3P_3.pdb,-3627.5127,4
6C3P_40.pdb,-3819.157,8
6C3P_41.pdb,-3705.5291,6
6C3P_42.pdb,-3349.5614,4
6C3P_43.pdb,-3189.6245,1
6C3P_44.pdb,-3365.2235,3
6C3P_45.pdb,-3508.8565,3
6C3P_46.pdb,-3655.1701,3
6C3P_47.pdb,-3654.8169,5
6C3P_48.pdb,-3524.7984,4
6C3P_49.pdb,-3855.2055,9
6C3P_4.pdb,-3677.3008,6
6C3P_50.pdb,-3477.8219,2
6C3P_5.pdb,-3676.5075,9
6C3P_6.pdb,-3481.5388,1
6C3P_7.pdb,-3809.3349,4
6C3P_8.pdb,-3438.7659,4
6C3P_9.pdb,-3365.3619,5
