structure,HADDOCK-score,correlation,atomic-clashes
6N7G_10w.pdb,-683.2263,,0
6N7G_11w.pdb,-651.9021,,0
6N7G_12w.pdb,-652.14249,,0
6N7G_13w.pdb,-661.70841,,0
6N7G_14w.pdb,-721.9023,,0
6N7G_15w.pdb,-661.8203,,0
6N7G_16w.pdb,-648.6952,,0
6N7G_17w.pdb,-669.19255,,0
6N7G_18w.pdb,-724.55704,,0
6N7G_19w.pdb,-663.45346,,0
6N7G_1w.pdb,-659.2887,,0
6N7G_20w.pdb,-652.959,,0
6N7G_21w.pdb,-652.14249,,0
6N7G_22w.pdb,-667.78914,,0
6N7G_23w.pdb,-671.39114,,0
6N7G_24w.pdb,-637.14128,,0
6N7G_25w.pdb,-685.22568,,0
6N7G_26w.pdb,-678.68846,,0
6N7G_27w.pdb,-667.70684,,0
6N7G_28w.pdb,-628.16824,,0
6N7G_29w.pdb,-657.2358,,0
6N7G_2w.pdb,-690.67586,,0
6N7G_30w.pdb,-652.14249,,0
6N7G_31w.pdb,-667.03843,,0
6N7G_32w.pdb,-668.85779,,0
6N7G_33w.pdb,-664.59218,,0
6N7G_34w.pdb,-652.14249,,0
6N7G_35w.pdb,-672.57438,,0
6N7G_36w.pdb,-675.72059,,0
6N7G_37w.pdb,-671.18095,,0
6N7G_38w.pdb,-675.91007,,0
6N7G_39w.pdb,-683.04367,,0
6N7G_3w.pdb,-697.200185,,0
6N7G_40w.pdb,-652.14249,,0
6N7G_41w.pdb,-655.23155,,0
6N7G_42w.pdb,-665.5378,,0
6N7G_43w.pdb,-713.94681,,0
6N7G_44w.pdb,-665.79045,,0
6N7G_45w.pdb,-672.75389,,0
6N7G_46w.pdb,-736.75338,,0
6N7G_47w.pdb,-665.7594,,0
6N7G_48w.pdb,-679.381,,0
6N7G_49w.pdb,-651.38173,,0
6N7G_4w.pdb,-652.14249,,0
6N7G_50w.pdb,-652.14249,,0
6N7G_5w.pdb,-665.9109,,0
6N7G_6w.pdb,-695.8176,,0
6N7G_7w.pdb,-651.7655,,0
6N7G_8w.pdb,-677.59691,,0
6N7G_9w.pdb,-646.3226,,0
