structure,HADDOCK-score,correlation,atomic-clashes
6C06_10w.pdb,-2122.760187,0.8853,0
6C06_11w.pdb,-2366.6792604,0.8839,0
6C06_12w.pdb,-2152.4144155,0.8826,0
6C06_13w.pdb,-2170.931914,0.8861,1
6C06_14w.pdb,-1626.709396,0.8851,0
6C06_15w.pdb,-1989.40964,0.8828,0
6C06_16w.pdb,-1894.669722,0.8832,1
6C06_17w.pdb,-1961.666451,0.8808,0
6C06_18w.pdb,-2115.556159,0.883,0
6C06_19w.pdb,-1943.748133,0.8803,1
6C06_1w.pdb,-1626.709396,0.8851,0
6C06_20w.pdb,-2237.9205,0.883,0
6C06_21w.pdb,-1998.958208,0.885,1
6C06_22w.pdb,-2100.4029188,0.8903,1
6C06_23w.pdb,-1974.461132,0.8835,0
6C06_24w.pdb,-2017.839949,0.8849,0
6C06_25w.pdb,-2038.640306,0.8817,0
6C06_26w.pdb,-2026.82872,0.8846,1
6C06_27w.pdb,-1956.492238,0.8794,0
6C06_28w.pdb,-1626.709396,0.8851,0
6C06_29w.pdb,-2079.2787716,0.887,0
6C06_2w.pdb,-2243.947269,0.8882,1
6C06_30w.pdb,-2181.60474,0.8882,0
6C06_31w.pdb,-1626.709396,0.8851,0
6C06_32w.pdb,-1931.495189,0.8818,0
6C06_33w.pdb,-1959.380215,0.8829,0
6C06_34w.pdb,-2137.574948,0.8846,1
6C06_35w.pdb,-2155.61095,0.8899,1
6C06_36w.pdb,-1626.709396,0.8851,0
6C06_37w.pdb,-2101.114738,0.8869,0
6C06_38w.pdb,-2080.903468,0.883,1
6C06_39w.pdb,-2021.0878473,0.8837,0
6C06_3w.pdb,-2104.836387,0.8867,0
6C06_40w.pdb,-1982.245083,0.8796,0
6C06_41w.pdb,-1975.68483,0.8822,1
6C06_42w.pdb,-1626.709396,0.8851,0
6C06_43w.pdb,-1626.709396,0.8851,0
6C06_44w.pdb,-2032.91489,0.883,0
6C06_45w.pdb,-2255.22403,0.8887,0
6C06_46w.pdb,-2015.937107,0.8859,0
6C06_47w.pdb,-2133.441817,0.8897,0
6C06_48w.pdb,-2058.310848,0.887,0
6C06_49w.pdb,-1855.7117,0.8815,1
6C06_4w.pdb,-1835.7963468,0.8805,0
6C06_50w.pdb,-2117.048658,0.8831,0
6C06_5w.pdb,-2063.5367,0.8828,1
6C06_6w.pdb,-1987.87081,0.8876,0
6C06_7w.pdb,-1803.747821,0.8791,0
6C06_8w.pdb,-1626.709396,0.8851,0
6C06_9w.pdb,-2165.293108,0.8854,1
