structure,HADDOCK-score,correlation,atomic-clashes
6UC0_10w.pdb,-1367.75534,0.9299,0
6UC0_11w.pdb,-1286.02143,0.9327,0
6UC0_12w.pdb,-1386.890583,0.9331,0
6UC0_13w.pdb,-1337.255281,0.9332,0
6UC0_14w.pdb,-1331.587689,0.9327,0
6UC0_15w.pdb,-1385.610604,0.9305,0
6UC0_16w.pdb,-1329.986365,0.9315,0
6UC0_17w.pdb,-1311.41117,0.9243,0
6UC0_18w.pdb,-1366.26321,0.9319,0
6UC0_19w.pdb,-1372.410718,0.9333,0
6UC0_1w.pdb,-1378.926343,0.9319,0
6UC0_20w.pdb,-1293.85641,0.9316,0
6UC0_21w.pdb,-1316.605025,0.9305,0
6UC0_22w.pdb,-1371.28452,0.9289,0
6UC0_23w.pdb,-1357.901137,0.9308,0
6UC0_24w.pdb,-1317.54039,0.9343,0
6UC0_25w.pdb,-1355.648659,0.9318,0
6UC0_26w.pdb,-1381.854482,0.9299,0
6UC0_27w.pdb,-1311.649937,0.933,0
6UC0_28w.pdb,-1318.788812,0.9317,0
6UC0_29w.pdb,-1349.105785,0.9317,0
6UC0_2w.pdb,-1326.931259,0.9327,0
6UC0_30w.pdb,-1353.349342,0.9307,0
6UC0_31w.pdb,-1312.690938,0.9327,1
6UC0_32w.pdb,-1371.552244,0.9307,0
6UC0_33w.pdb,-1346.99411,0.9305,0
6UC0_34w.pdb,-1345.490027,0.9329,0
6UC0_35w.pdb,-1380.378339,0.9331,0
6UC0_36w.pdb,-1340.911549,0.9342,0
6UC0_37w.pdb,-1373.46937,0.9289,1
6UC0_38w.pdb,-1304.209987,0.9315,0
6UC0_39w.pdb,-1313.521909,0.9311,0
6UC0_3w.pdb,-1378.312889,0.9299,0
6UC0_40w.pdb,-1367.049447,0.9317,0
6UC0_41w.pdb,-1352.230651,0.9322,0
6UC0_42w.pdb,-1348.44429,0.9305,0
6UC0_43w.pdb,-1376.55519,0.9326,0
6UC0_44w.pdb,-1339.828218,0.9314,1
6UC0_45w.pdb,-1298.83801,0.9292,0
6UC0_46w.pdb,-1366.470516,0.9311,0
6UC0_47w.pdb,-1305.07682,0.9296,0
6UC0_48w.pdb,-1298.795258,0.932,0
6UC0_49w.pdb,-1323.20923,0.9327,1
6UC0_4w.pdb,-1359.954157,0.9299,0
6UC0_50w.pdb,-1327.31589,0.932,0
6UC0_5w.pdb,-1330.61125,0.9318,0
6UC0_6w.pdb,-1334.376802,0.9334,0
6UC0_7w.pdb,-1344.860564,0.9324,0
6UC0_8w.pdb,-1310.62275,0.9321,0
6UC0_9w.pdb,-1332.006419,0.9277,1
