structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-2217.80227,0.8902,0
5GRS_11w.pdb,-2214.06181,0.8917,0
5GRS_12w.pdb,-2089.353919,0.8923,0
5GRS_13w.pdb,-2186.17314,0.8917,0
5GRS_14w.pdb,-2054.512591,0.8928,0
5GRS_15w.pdb,-2190.476514,0.8928,1
5GRS_16w.pdb,-2233.075713,0.8941,0
5GRS_17w.pdb,-2081.751699,0.8922,0
5GRS_18w.pdb,-1961.864026,0.8915,0
5GRS_19w.pdb,-2152.831707,0.8919,0
5GRS_1w.pdb,-2108.779273,0.8935,1
5GRS_20w.pdb,-2092.996979,0.8923,1
5GRS_21w.pdb,-2174.447249,0.8916,1
5GRS_22w.pdb,-2080.393186,0.8905,0
5GRS_23w.pdb,-1992.052517,0.8903,0
5GRS_24w.pdb,-2160.508737,0.8929,1
5GRS_25w.pdb,-2188.513024,0.8922,0
5GRS_26w.pdb,-2117.79294,0.8928,1
5GRS_27w.pdb,-2099.16655,0.8903,0
5GRS_28w.pdb,-2200.784957,0.8914,0
5GRS_29w.pdb,-2108.340903,0.8902,1
5GRS_2w.pdb,-2083.799024,0.891,2
5GRS_30w.pdb,-2051.164627,0.8904,1
5GRS_31w.pdb,-2057.564653,0.8911,0
5GRS_32w.pdb,-1996.13045,0.8903,0
5GRS_33w.pdb,-1909.034987,0.8899,1
5GRS_34w.pdb,-2156.953845,0.8926,0
5GRS_35w.pdb,-1956.777603,0.8903,0
5GRS_36w.pdb,-1951.982047,0.8915,1
5GRS_37w.pdb,-2093.134721,0.8929,1
5GRS_38w.pdb,-2187.936343,0.8948,1
5GRS_39w.pdb,-2026.032532,0.889,0
5GRS_3w.pdb,-2030.041365,0.8916,0
5GRS_40w.pdb,-2047.365175,0.8931,0
5GRS_41w.pdb,-2198.185818,0.8931,0
5GRS_42w.pdb,-2109.238548,0.8932,1
5GRS_43w.pdb,-1951.279595,0.8903,0
5GRS_44w.pdb,-2102.410185,0.8902,0
5GRS_45w.pdb,-2116.398848,0.8927,3
5GRS_46w.pdb,-2306.45346,0.8923,0
5GRS_47w.pdb,-2087.125916,0.8913,1
5GRS_48w.pdb,-2135.213438,0.8919,2
5GRS_49w.pdb,-1978.721941,0.8904,0
5GRS_4w.pdb,-2059.154262,0.8897,2
5GRS_50w.pdb,-2062.743228,0.8916,1
5GRS_5w.pdb,-2013.445173,0.892,1
5GRS_6w.pdb,-2172.428208,0.8907,0
5GRS_7w.pdb,-2069.405619,0.8894,0
5GRS_8w.pdb,-2067.980834,0.8906,0
5GRS_9w.pdb,-2226.418626,0.8956,0
