structure,HADDOCK-score,correlation
6ACG_1.pdb,-1961.708,0.8578
6ACG_10.pdb,-1744.86,0.8591
6ACG_11.pdb,-1858.343,0.8609
6ACG_12.pdb,-2178.01,0.8584
6ACG_13.pdb,-2063.459,0.859
6ACG_14.pdb,-2017.167,0.8593
6ACG_15.pdb,-1951.286,0.8588
6ACG_16.pdb,-1995.936,0.8586
6ACG_17.pdb,-2005.74,0.8619
6ACG_18.pdb,-1967.03,0.8618
6ACG_19.pdb,-2145.067,0.8602
6ACG_2.pdb,-2211.961,0.8594
6ACG_20.pdb,-2089.154,0.8581
6ACG_21.pdb,-1960.909,0.8589
6ACG_22.pdb,-2110.91,0.8588
6ACG_23.pdb,-1705.11,0.8595
6ACG_24.pdb,-1844.237,0.8585
6ACG_25.pdb,-1949.637,0.8598
6ACG_26.pdb,-1855.368,0.859
6ACG_27.pdb,-1884.398,0.8607
6ACG_28.pdb,-2051.839,0.8593
6ACG_29.pdb,-2130.697,0.8597
6ACG_3.pdb,-1828.73,0.8591
6ACG_30.pdb,-2059.99,0.8607
6ACG_31.pdb,-1974.691,0.8606
6ACG_32.pdb,-1990.003,0.8602
6ACG_33.pdb,-2158.459,0.8571
6ACG_34.pdb,-2102.623,0.8583
6ACG_35.pdb,-2066.864,0.8598
6ACG_36.pdb,-2111.955,0.8608
6ACG_37.pdb,-1947.12,0.8601
6ACG_38.pdb,-2039.329,0.861
6ACG_39.pdb,-2043.598,0.861
6ACG_4.pdb,-2203.549,0.8595
6ACG_40.pdb,-1907.328,0.8597
6ACG_41.pdb,-2064.187,0.8607
6ACG_42.pdb,-1888.939,0.8589
6ACG_43.pdb,-2250.372,0.8604
6ACG_44.pdb,-1694.316,0.8572
6ACG_45.pdb,-2139.282,0.862
6ACG_46.pdb,-2159.767,0.8587
6ACG_47.pdb,-1817.53,0.8603
6ACG_48.pdb,-2010.923,0.8613
6ACG_49.pdb,-2006.216,0.8598
6ACG_5.pdb,-2194.941,0.8586
6ACG_50.pdb,-2150.856,0.8598
6ACG_6.pdb,-2062.051,0.8594
6ACG_7.pdb,-1963.732,0.8592
6ACG_8.pdb,-1779.718,0.8585
6ACG_9.pdb,-2246.674,0.859
