structure,HADDOCK-score,correlation,atomic-clashes
6UC0_10w.pdb,-1274.8126,0.9305,0
6UC0_11w.pdb,-1227.5166,0.9306,0
6UC0_12w.pdb,-1247.396,0.934,0
6UC0_13w.pdb,-1312.6246,0.9327,0
6UC0_14w.pdb,-1258.9149,0.9312,0
6UC0_15w.pdb,-1197.9295124,0.9291,0
6UC0_16w.pdb,-1243.84175342,0.9294,0
6UC0_17w.pdb,-1272.5973,0.9319,0
6UC0_18w.pdb,-1271.7277,0.9308,0
6UC0_19w.pdb,-1232.4539645,0.9271,0
6UC0_1w.pdb,-1184.6352,0.9308,1
6UC0_20w.pdb,-1254.7083,0.9283,0
6UC0_21w.pdb,-1303.4773,0.9337,0
6UC0_22w.pdb,-1292.629,0.931,0
6UC0_23w.pdb,-1367.1013,0.931,0
6UC0_24w.pdb,-1221.2093858,0.9298,1
6UC0_25w.pdb,-1297.7721,0.9304,0
6UC0_26w.pdb,-1193.8439639,0.9318,0
6UC0_27w.pdb,-1241.8137797,0.9315,0
6UC0_28w.pdb,-1256.8651763,0.9317,0
6UC0_29w.pdb,-1286.8679618,0.9326,0
6UC0_2w.pdb,-1302.9452,0.9326,0
6UC0_30w.pdb,-1254.04237483,0.931,0
6UC0_31w.pdb,-1212.4162341,0.9318,0
6UC0_32w.pdb,-1117.5940018,0.9291,0
6UC0_33w.pdb,-1271.46098818,0.9261,0
6UC0_34w.pdb,-1135.9417437,0.9287,0
6UC0_35w.pdb,-1194.3555,0.9311,0
6UC0_36w.pdb,-1298.7661,0.9333,0
6UC0_37w.pdb,-1351.9253146,0.9309,0
6UC0_38w.pdb,-1202.37275721,0.9303,1
6UC0_39w.pdb,-1238.2731,0.933,1
6UC0_3w.pdb,-1300.1518582,0.9288,0
6UC0_40w.pdb,-1359.3935,0.9338,0
6UC0_41w.pdb,-1272.5058568,0.9324,0
6UC0_42w.pdb,-1225.4934,0.9287,0
6UC0_43w.pdb,-1344.9482515,0.9306,0
6UC0_44w.pdb,-1282.2521,0.9303,0
6UC0_45w.pdb,-1141.6565278,0.9253,0
6UC0_46w.pdb,-1305.5969,0.932,0
6UC0_47w.pdb,-1201.0031263,0.9305,0
6UC0_48w.pdb,-1177.1078211,0.9319,0
6UC0_49w.pdb,-1289.1578011,0.9315,0
6UC0_4w.pdb,-1173.819535,0.9306,0
6UC0_50w.pdb,-1260.0969,0.9326,0
6UC0_5w.pdb,-1173.07165,0.9293,0
6UC0_6w.pdb,-1208.5406,0.9275,0
6UC0_7w.pdb,-1240.80329433,0.9312,0
6UC0_8w.pdb,-1232.48020373,0.9309,0
6UC0_9w.pdb,-1223.6927,0.9306,0
